x y z total
4.1 -26.6 1.7 26.97
4.7 -28.0 1.4 28.43
4.4 -27.4 3.1 27.92
4.5 -27.9 2.6 28.38
4.3 -28.8 0.2 29.12
4.1 -28.2 1.1 28.52
5.3 -27.8 1.9 28.36
4.2 -28.0 2.1 28.39
5.6 -27.6 1.9 28.23
3.0 -28.2 3.1 28.53
3.8 -27.8 2.4 28.16
4.6 -28.1 1.6 28.52
2.3 -28.3 2.3 28.49
5.3 -28.5 -1.1 29.01
4.9 -27.5 3.4 28.14
6.2 -27.3 4.1 28.29
4.2 -23.4 16.0 28.66
-8.6 -30.4 33.0 45.69
-23.2 -92.3 56.0 110.42
-22.2 -53.2 57.9 81.70
-25.7 -54.7 51.7 79.53
-17.5 -37.0 24.7 47.81
-12.8 -37.7 -12.8 41.82
13.6 -29.4 -23.2 39.84
33.7 -51.4 -20.9 64.92
28.6 -75.9 -11.3 81.89
30.8 -81.4 -15.4 88.38
8.5 -46.0 13.0 48.55
14.2 -16.9 22.5 31.52
1.4 -21.8 20.6 30.03
-0.8 -10.3 39.7 41.02
23.1 -161.9 13.5 164.10
-30.4 -80.0 76.6 114.86
-31.6 -76.3 109.4 137.07-21.1 -39.4 103.5 112.74-10.6 1.3 5.2 11.88
-6.9 -24.3 20.3 32.41
3.1 -35.2 22.9 42.11
-2.2 -57.1 33.7 66.34
9.2 -122.4 28.3 125.97
-42.0 -74.0 -52.8 100.1482.4 -94.0 25.1 127.50
-5.8 -21.8 26.2 34.57
-5.0 -17.5 24.8 30.76
-2.3 5.0 48.9 49.21
-8.3 -108.9 39.6 116.17
-53.8 -91.1 50.3 117.15
-51.1 -52.7 76.8 106.24
-54.2 -6.9 75.9 93.52
-7.8 -8.7 23.3 26.07
-25.0 -77.1 27.4 85.56
-10.7 -85.8 22.7 89.39
-25.8 -144.8 37.7 151.84-5.0 -146.7 -45.3 153.62-9.4 -88.8 -12.9 90.22
-93.0 -61.0 3.3 111.27
-3.9 -73.5 1.7 73.62
32.9 10.6 46.8 58.18
-1.2 9.9 36.1 37.45
-19.1 -19.4 -7.4 28.21
-66.0 -30.9 10.4 73.61
-9.0 -15.6 21.1 27.74
2.5 -17.0 19.5 25.99
-2.3 -17.5 18.8 25.79
0.2 -16.8 19.3 25.59
-1.4 -16.3 19.7 25.61
-4.0 -15.5 19.2 25.00
-3.1 -15.3 19.1 24.67
-1.5 -16.1 19.4 25.26
-4.0 -15.2 19.2 24.81
1.2 -16.2 19.4 25.30
-2.9 -16.3 19.2 25.35
-0.5 -17.0 19.4 25.80
-1.1 -16.6 19.5 25.63
0.6 -17.2 20.1 26.46
-3.5 -16.1 19.7 25.68
-1.3 -17.4 20.4 26.84
-8.4 -10.0 19.3 23.30
-3.0 -8.1 20.1 21.88
-7.9 -14.0 20.2 25.82
-5.0 -15.3 20.6 26.14
-6.5 -9.5 19.6 22.73
-5.7 -9.0 20.1 22.75
-3.6 -9.7 20.2 22.70
-4.5 -9.7 20.5 23.12
-2.9 -16.9 22.7 28.45
-5.0 -9.9 20.6 23.40
-3.6 -10.6 21.3 24.06
-4.5 -8.9 20.7 22.98
-5.4 -9.2 20.3 22.93
-0.2 -13.2 22.0 25.66
-3.4 -13.1 21.2 25.15
-2.1 -12.0 21.2 24.45
-3.0 -11.6 21.1 24.26
-2.9 -12.2 21.3 24.72
-1.7 -12.6 21.3 24.81
-2.4 -11.7 21.1 24.25
-1.7 -12.6 21.1 24.63
-1.8 -13.0 21.1 24.85
-2.2 -12.4 20.9 24.40
