x y z total
1.8 -17.0 17.4 24.39
2.0 -17.8 18.3 25.61
1.8 -17.8 18.8 25.95
1.9 -18.0 18.1 25.60
1.7 -18.1 18.1 25.65
2.5 -18.2 17.9 25.65
0.9 -16.8 19.5 25.75
1.6 -17.5 18.6 25.59
1.8 -18.4 17.8 25.66
1.0 -15.5 20.5 25.72
1.4 -17.6 18.9 25.86
1.2 -15.4 19.6 24.96
1.9 -15.7 19.6 25.18
1.7 -16.4 19.4 25.46
1.3 -15.5 19.6 25.02
1.4 -15.5 20.0 25.34
0.0 -14.9 21.0 25.75
1.8 -15.7 20.7 26.04
3.2 -17.9 19.7 26.81
6.4 -20.2 13.8 25.29
5.5 -24.3 7.2 25.93
5.9 -19.5 24.2 31.63
-11.5 -17.7 40.7 45.85
-2.4 -74.4 49.5 89.39
-7.8 -118.6 77.2 141.73
11.1 -56.3 71.7 91.84
25.6 -25.5 37.7 52.22
-8.3 -11.7 -2.1 14.50
14.1 -32.6 -16.4 39.12
35.9 -84.4 -27.3 95.69
24.0 -126.7 -32.2 132.91-2.8 -32.0 59.8 67.88
-2.4 -26.0 22.7 34.60
0.6 -16.8 23.3 28.73
4.2 -16.9 31.7 36.17
-7.3 -45.4 39.7 60.75
-37.7 -149.3 23.0 155.69-26.0 -61.3 71.8 97.92
-9.3 -69.7 97.9 120.54
-20.5 -44.0 81.7 95.03
-5.6 -12.2 2.1 13.59
-8.3 -36.8 12.9 39.87
10.8 -31.2 4.0 33.26
8.1 -55.3 18.9 59.00
24.8 -131.0 -28.0 136.24-56.2 -35.1 -52.8 84.72
47.4 -139.5 30.4 150.44
-8.2 -24.8 25.3 36.36
11.2 -8.9 40.4 42.86
-4.7 17.6 52.3 55.38
-10.7 -88.3 43.1 98.84
-60.9 -107.3 59.7 137.06-56.3 -39.9 82.2 107.32
-35.7 -15.1 71.7 81.51
-1.4 -25.9 32.8 41.82
-23.3 -82.1 29.5 90.30
-5.8 -93.9 20.3 96.24
-15.2 -168.2 -8.7 169.110.1 -138.4 -44.0 145.23
17.8 194.9 105.5 222.34
27.3 -262.1 -5.3 263.57
0.8 -11.7 26.1 28.61
20.8 -1.8 36.7 42.22
11.3 12.4 41.7 44.95
-10.1 -14.7 5.2 18.58
24.5 -0.3 43.3 49.75
9.3 -21.1 16.4 28.30
-3.9 -17.8 19.7 26.84
-4.7 -16.6 19.3 25.89
-0.6 -16.8 19.7 25.90
-0.1 -16.3 19.8 25.65
-5.3 -11.7 19.3 23.18
-3.3 -16.6 20.3 26.43
-6.3 -13.3 19.2 24.19
-7.3 -15.8 18.9 25.69
-4.2 -15.4 20.1 25.67
-12.8 -14.6 18.0 26.48
-17.0 -15.2 15.9 27.80
10.8 -20.4 21.3 31.41
5.1 -14.8 21.0 26.19
-1.2 -12.0 20.3 23.61
-0.5 -14.8 20.2 25.05
-2.8 -15.2 20.3 25.51
3.0 -15.9 19.8 25.57
-1.8 -16.7 19.7 25.89
0.2 -15.9 19.8 25.39
-0.1 -17.5 19.4 26.13
-1.1 -15.1 20.9 25.81
-0.8 -16.1 19.3 25.15
-0.7 -16.1 19.3 25.14
-0.2 -15.8 19.5 25.10
-0.3 -16.8 19.2 25.51
-1.2 -16.1 19.4 25.24
-1.0 -16.4 19.4 25.42
-0.3 -16.3 19.3 25.26
-0.9 -16.4 19.3 25.34
0.0 -16.3 19.4 25.34
-0.7 -16.4 19.5 25.49
-0.8 -16.2 19.4 25.29
-0.7 -16.3 19.4 25.35
-0.5 -16.0 19.6 25.31
-0.6 -16.0 19.1 24.92
-0.6 -16.4 19.3 25.33
-1.5 -17.0 19.8 26.14
