x y z total
1.2 -18.1 18.1 25.63
0.9 -17.6 18.7 25.70
1.1 -18.1 18.1 25.62
0.4 -16.3 19.7 25.57
1.1 -18.0 18.3 25.69
1.0 -18.3 18.2 25.83
0.8 -18.8 18.3 26.25
0.6 -15.2 20.2 25.29
0.3 -16.7 19.3 25.52
0.9 -16.5 19.3 25.41
0.7 -16.7 19.1 25.38
-0.1 -16.1 19.5 25.29
-0.9 -15.9 19.8 25.41
0.5 -16.2 20.7 26.29
3.5 -16.1 24.0 29.11
0.8 -18.4 17.6 25.47
4.8 -22.3 11.1 25.37
8.5 -24.9 5.2 26.82
-5.5 -14.9 44.1 46.87
-20.7 -18.4 37.2 46.38
-13.1 -125.7 36.4 131.52-21.6 -91.3 59.7 111.20
0.8 -29.4 42.9 52.01
-18.0 11.5 14.6 25.87
-14.4 7.3 15.4 22.31
16.5 -17.4 12.5 27.04
28.7 -144.4 -17.3 148.2453.1 -153.7 -57.6 172.5164.2 -32.0 81.8 108.80
-0.5 -26.0 25.0 36.07
1.2 -17.6 30.0 34.80
-8.7 5.7 64.0 64.84
-5.1 -46.3 34.6 58.02
-56.0 -192.4 11.5 200.71-53.1 -92.8 97.4 144.63
-15.0 -21.3 94.8 98.31
17.9 20.1 20.6 33.89
6.6 -23.5 16.6 29.52
0.1 -45.5 17.1 48.61
14.8 -79.9 29.4 86.41
1.1 -151.2 17.1 152.17
19.3 -124.6 -36.7 131.32-185.7 -226.3 19.7 293.4-0.6 -20.1 18.2 27.12
6.5 -18.2 28.4 34.35
0.5 -6.0 46.0 46.39
-0.3 -27.3 37.9 46.71
-47.1 -65.4 60.5 100.78
-53.7 -20.2 99.9 115.20
-37.0 -2.3 69.5 78.77
-3.1 -15.0 28.2 32.09
-16.6 -52.3 45.8 71.47
-12.0 -139.6 60.2 152.5032.5 -204.0 -15.7 207.1727.5 -141.9 -33.5 148.37-179.9 223.3 117.0 309.7-1.3 -51.1 3.6 51.24
4.6 -19.1 18.8 27.19
0.0 -18.7 18.9 26.59
-1.4 -18.8 20.2 27.63
1.2 -16.9 21.0 26.98
5.7 -12.8 26.6 30.06
5.1 -26.6 3.4 27.30
-7.5 -24.1 4.8 25.69
-6.1 -22.6 14.6 27.59
2.1 -18.4 18.9 26.46
1.6 -18.2 17.8 25.51
0.2 -18.9 16.5 25.09
-0.2 -18.8 18.0 26.03
-1.3 -16.4 19.6 25.59
-0.6 -17.5 18.3 25.33
-1.1 -17.4 19.0 25.79
-1.0 -17.8 18.6 25.76
8.7 -17.0 18.8 26.80
-4.2 -18.4 18.5 26.43
2.4 -15.7 20.4 25.85
-2.3 -17.2 19.0 25.73
-1.3 -16.8 19.4 25.70
-1.0 -16.7 19.4 25.62
-0.3 -17.1 19.4 25.86
-2.4 -16.5 19.1 25.35
-4.8 -15.5 19.2 25.14
-2.2 -16.0 19.4 25.24
-1.2 -16.3 18.8 24.91
-1.2 -15.3 18.4 23.96
-1.9 -16.1 19.2 25.13
-2.2 -16.4 19.1 25.27
-2.0 -16.7 19.1 25.45
-2.5 -15.9 19.5 25.28
-1.9 -16.4 19.4 25.47
-2.0 -16.2 19.2 25.20
-1.4 -16.8 19.1 25.48
-2.0 -16.6 19.2 25.46
-1.5 -16.5 19.1 25.28
-2.0 -16.2 19.2 25.20
-1.8 -16.5 19.1 25.30
-2.0 -16.5 19.1 25.32
-1.6 -16.1 19.4 25.26
-1.6 -16.5 19.3 25.44
-1.6 -16.4 19.4 25.45
-1.6 -16.4 19.3 25.38
-1.6 -16.4 19.3 25.38
-1.8 -16.4 19.2 25.31
-1.6 -16.4 19.3 25.38
-1.8 -16.2 19.2 25.19
