x y z total
-1.2 -15.1 18.6 23.99
-1.0 -15.6 19.6 25.07
-0.7 -15.7 19.5 25.04
-1.0 -15.4 19.5 24.87
-0.2 -15.9 19.4 25.08
-0.2 -15.6 19.6 25.05
0.4 -15.3 19.6 24.87
-0.7 -15.0 19.7 24.77
-2.9 -16.0 19.6 25.47
-1.9 -15.5 19.8 25.22
-0.1 -15.5 19.9 25.22
-2.4 -14.6 20.0 24.88
-0.3 -14.5 20.2 24.87
-0.4 -14.2 21.3 25.60
2.0 -16.5 21.1 26.86
6.0 -20.3 12.5 24.58
5.6 -22.4 12.8 26.40
9.0 -19.9 20.7 30.09
-39.5 -5.4 46.1 60.95
5.3 -54.0 28.3 61.20
-33.8 -130.3 29.2 137.74-3.9 -61.0 54.0 81.56
-24.1 -26.2 23.1 42.44
-34.1 -4.6 -2.7 34.51
-22.5 -15.8 -6.9 28.35
10.6 -20.6 -13.4 26.76
27.8 -47.8 -15.7 57.48
34.1 -127.4 -19.9 133.38-126.8 -129.9 46.1 187.215.1 -77.0 9.6 79.05
3.0 -19.3 21.6 29.12
4.0 -8.7 44.2 45.23
-39.7 12.1 71.5 82.67
-19.3 -158.4 14.1 160.19-47.3 -79.8 77.1 120.62
1.9 -44.6 89.4 99.93
-11.5 -10.6 36.8 39.99
2.7 -16.5 -3.2 17.02
-11.5 -35.6 7.3 38.12
-5.5 -27.5 8.3 29.25
18.2 -97.9 24.2 102.48
35.0 -155.8 -14.8 160.378.5 -110.7 -24.7 113.74
-136.9 -261.2 -5.6 294.9-2.8 -17.8 18.8 26.04
5.0 -19.0 26.6 33.07
9.4 -3.8 44.9 46.03
-20.6 -42.7 46.5 66.41
-65.1 -56.3 100.3 132.17-56.4 -5.5 91.8 107.88
-41.4 8.8 73.6 84.90
3.0 6.5 23.3 24.37
-27.2 -67.9 37.5 82.20
-25.8 -134.1 52.9 146.4516.0 -214.4 -7.6 215.13
20.7 -141.4 -48.6 150.95-100.0 176.1 93.1 222.898.7 -29.0 19.1 35.80
-0.6 -18.6 19.0 26.60
-2.5 -17.3 20.4 26.86
-0.7 -19.5 17.7 26.34
0.5 -19.0 16.8 25.37
-0.8 -18.2 18.7 26.11
0.5 -19.6 15.8 25.18
-2.6 -21.0 13.8 25.26
1.1 -17.5 20.1 26.67
-0.3 -18.7 17.6 25.68
-0.1 -18.4 18.4 26.02
0.3 -17.7 18.7 25.75
-0.6 -18.8 17.0 25.35
-0.4 -17.6 18.5 25.54
-0.9 -17.8 18.8 25.91
1.0 -17.4 18.3 25.27
0.2 -17.1 19.0 25.56
0.5 -17.4 18.6 25.47
1.6 -17.6 18.9 25.88
0.7 -16.4 19.3 25.34
-0.9 -16.1 19.3 25.15
-1.1 -15.2 19.4 24.67
0.4 -15.6 18.6 24.28
1.1 -16.8 19.0 25.39
-3.1 -16.4 19.4 25.59
-0.3 -16.4 19.5 25.48
-1.9 -15.9 19.3 25.08
-1.1 -16.5 19.4 25.49
-2.1 -16.1 19.3 25.22
-1.4 -16.3 19.4 25.38
-1.8 -16.1 19.5 25.35
-1.2 -16.1 19.5 25.32
-1.7 -16.2 19.2 25.18
-0.7 -16.5 19.3 25.40
-0.9 -16.3 19.4 25.35
-1.2 -16.3 19.6 25.52
-1.2 -16.2 19.3 25.23
-0.8 -16.0 19.0 24.85
-1.0 -16.2 19.5 25.37
-1.1 -16.1 19.5 25.31
-1.2 -15.9 19.5 25.19
