x y z total
1.2 -18.6 18.1 25.98
1.5 -18.9 17.5 25.80
1.9 -18.9 17.4 25.76
1.4 -18.8 18.0 26.07
1.2 -19.5 16.7 25.70
0.9 -18.4 18.5 26.11
1.4 -18.3 17.7 25.50
1.0 -18.0 18.4 25.76
0.7 -17.7 19.0 25.98
1.2 -17.8 18.5 25.70
1.3 -17.8 18.8 25.92
0.5 -17.4 19.6 26.21
1.8 -17.4 20.4 26.87
0.8 -18.9 18.6 26.53
2.1 -20.2 14.7 25.07
0.9 -23.3 8.5 24.82
1.2 -29.6 -3.9 29.88
2.9 -25.5 15.2 29.83
-22.3 -13.5 43.0 50.28
10.5 -47.1 13.7 50.16
-22.3 -100.7 25.0 106.13-13.4 -75.9 58.8 96.94
-10.6 -32.5 43.9 55.64
-27.3 8.2 13.7 31.63
-28.5 6.0 4.9 29.53
2.5 -21.7 -1.7 21.91
22.3 -112.1 -20.9 116.1933.6 -156.0 -43.4 165.37-146.6 -173.7 33.9 229.88.1 -46.2 3.9 47.07
-0.2 -19.0 25.4 31.72
-17.2 4.8 73.1 75.25
-9.6 -41.4 32.2 53.32
-49.6 -171.5 22.1 179.89-29.9 -64.6 75.5 103.77
-26.7 -33.7 92.0 101.55
-4.5 13.8 30.0 33.33
-8.6 -2.3 8.1 12.04
-13.4 -37.1 19.4 43.96
5.6 -60.5 31.4 68.39
4.0 -145.8 19.9 147.21
22.8 -163.8 -33.8 168.8011.7 84.6 14.7 86.66
-4.9 -11.5 27.1 29.84
0.1 -15.3 25.0 29.31
12.0 -8.6 38.0 40.77
-16.6 -3.7 36.8 40.54
-21.8 -123.4 41.1 131.88-63.9 -50.8 86.3 118.79
-50.8 -25.4 90.9 107.18
-16.7 -3.2 46.7 49.70
-2.9 -20.3 19.5 28.30
10.6 -73.5 27.5 79.19
-8.2 -117.2 46.1 126.21
11.7 -166.2 28.3 169.00
31.4 -119.6 -41.8 130.5310.1 -123.0 9.1 123.75
18.9 -52.4 14.2 57.49
10.7 -18.5 21.1 30.03
7.7 -17.7 19.8 27.65
-0.3 -18.9 18.3 26.31
3.4 -18.2 16.9 25.07
1.9 -21.0 14.9 25.82
-0.6 -24.1 8.5 25.56
2.1 -16.7 20.4 26.45
-0.4 -19.0 16.9 25.43
4.6 -17.3 17.1 24.76
3.3 -14.9 20.6 25.64
-0.6 -17.3 19.3 25.93
-0.3 -16.7 19.6 25.75
1.2 -17.2 18.9 25.58
0.8 -17.3 18.4 25.27
3.3 -16.1 18.9 25.05
0.8 -16.3 19.9 25.74
-0.2 -16.8 19.5 25.74
-0.8 -16.4 19.7 25.65
-0.9 -16.4 19.6 25.57
-1.2 -15.9 19.9 25.50
-0.6 -15.7 19.9 25.35
-1.2 -15.8 19.8 25.36
-4.2 -14.8 19.6 24.92
-3.7 -15.5 19.5 25.18
-1.6 -16.5 19.3 25.44
-3.4 -16.8 19.3 25.81
1.1 -16.6 20.0 26.01
2.3 -14.8 20.1 25.07
-2.7 -13.4 19.9 24.14
0.0 -9.9 20.0 22.32
0.0 -15.7 21.2 26.38
-5.8 -13.6 20.0 24.87
-2.2 -15.0 20.5 25.50
-1.9 -13.1 20.4 24.32
-1.9 -14.6 20.7 25.40
-2.8 -12.8 20.1 23.99
-5.6 -13.6 20.2 24.99
-1.4 -15.0 20.7 25.60
-2.9 -13.7 20.3 24.66
-3.8 -12.9 19.9 24.02
-2.1 -13.1 20.3 24.25
-2.6 -14.2 20.2 24.83
-1.6 -14.1 20.3 24.77
-2.7 -14.8 20.3 25.27
-2.0 -14.2 20.3 24.85
-2.2 -14.1 20.1 24.65
-2.9 -14.2 20.0 24.70
-1.6 -15.4 18.7 24.28
-2.6 -14.1 20.1 24.69
-3.0 -14.8 20.5 25.46
-2.5 -14.9 20.2 25.22
