x y z total
-0.1 -15.7 18.4 24.19
0.0 -16.9 19.1 25.50
-0.1 -16.5 19.1 25.24
-0.2 -16.7 19.2 25.45
0.0 -17.0 19.2 25.64
0.0 -16.9 19.1 25.50
-0.2 -16.9 19.1 25.50
-0.2 -16.6 19.2 25.38
0.0 -16.6 19.0 25.23
-0.1 -16.7 19.2 25.45
-0.6 -16.9 19.1 25.51
0.3 -16.8 19.3 25.59
0.2 -16.4 19.2 25.25
-1.2 -17.1 19.0 25.59
-0.5 -16.4 19.1 25.18
-0.7 -17.1 19.4 25.87
-0.6 -16.7 19.2 25.45
-0.1 -17.0 19.2 25.64
-0.2 -17.0 19.2 25.65
0.2 -16.9 19.1 25.50
-0.2 -16.9 19.1 25.50
0.2 -17.9 18.9 26.03
0.6 -18.0 19.5 26.54
1.7 -18.1 20.3 27.25
-0.7 -17.9 22.8 29.00
-6.0 -16.9 29.5 34.52
-9.7 -47.1 29.3 56.31
1.5 -47.6 30.7 56.66
-20.7 -1.3 28.8 35.49
-3.4 -4.1 20.4 21.08
-9.8 -13.0 20.0 25.79
-4.3 -23.5 25.2 34.72
-3.9 -29.4 32.3 43.85
-0.3 -49.8 35.9 61.39
5.5 -68.1 5.8 68.57
-9.3 -20.0 46.2 51.20
1.8 -29.7 26.6 39.91
6.2 -35.3 22.1 42.11
-0.4 -19.7 20.2 28.22
-1.0 -17.5 19.1 25.92
-1.4 -17.7 18.7 25.79
-1.1 -17.2 18.9 25.58
-0.6 -17.7 18.8 25.83
-0.3 -17.8 18.7 25.82
-0.7 -18.1 19.4 26.54
-0.4 -17.9 20.3 27.07
0.0 -17.8 21.7 28.07
-2.0 -16.7 25.5 30.55
1.9 -43.4 30.5 53.08
-7.0 -25.3 31.5 41.00
-19.1 -66.1 29.2 74.74
-4.1 -0.1 14.2 14.78
1.6 -13.7 18.2 22.84
5.4 -18.6 23.4 30.38
5.5 -29.3 29.8 42.15
4.7 -43.5 42.3 60.86
16.4 -78.2 -26.9 84.31
-6.4 -34.1 -5.5 35.13
29.4 -48.6 26.8 62.81
-11.5 -43.9 20.4 49.76
1.8 -24.9 20.5 32.30
-0.4 -17.2 19.2 25.78
-0.7 -17.3 19.2 25.85
-1.0 -16.9 18.9 25.37
-1.1 -16.6 19.1 25.33
-1.2 -17.3 19.0 25.72
-0.4 -17.0 19.3 25.72
-0.5 -16.8 19.8 25.97
1.0 -16.4 21.6 27.14
-2.9 -13.2 30.4 33.27
-8.1 -12.6 37.5 40.38
8.0 -43.3 29.5 53.00
-16.7 -21.3 27.0 38.23
-17.8 -45.6 25.3 55.10
-6.4 -16.7 7.7 19.47
-10.6 -18.8 10.7 24.09
-3.4 -26.1 16.0 30.80
-11.4 -37.4 26.3 47.12
8.6 -56.8 8.8 58.12
9.5 -74.4 -23.3 78.54
-11.4 -20.4 8.9 25.01
21.4 -45.8 29.9 58.73
1.4 -22.1 19.7 29.64
0.7 -17.9 19.5 26.48
-0.7 -16.9 19.3 25.66
-0.4 -16.7 19.3 25.53
