x y z total
2.9 -17.3 17.0 24.43
1.3 -15.9 19.6 25.27
2.0 -16.4 19.3 25.41
1.5 -15.8 19.6 25.22
1.9 -15.4 19.9 25.23
1.6 -15.3 19.6 24.92
1.0 -16.0 19.4 25.17
0.7 -16.1 19.5 25.30
0.2 -15.4 20.2 25.40
1.0 -15.5 22.8 27.59
1.4 -17.0 22.1 27.92
1.5 -20.2 14.2 24.74
2.3 -26.6 -0.5 26.70
3.1 -26.1 10.5 28.30
-12.4 -12.8 41.6 45.26
-14.2 -16.9 30.0 37.25
6.9 -103.8 19.7 105.88
-21.1 -103.0 56.5 119.360.1 -46.3 50.6 68.59
-16.7 -14.9 19.9 29.95
-28.9 -5.4 1.6 29.44
-4.6 -10.3 -1.2 11.34
31.3 -87.4 -17.9 94.55
33.5 -130.5 -27.9 137.5936.4 -111.4 -34.0 122.0369.9 -40.1 66.1 104.23
-0.9 -25.2 25.7 36.00
1.5 -12.6 34.4 36.67
-24.3 16.0 71.5 77.19
16.3 -110.6 12.9 112.54
-37.4 -109.1 41.2 122.47-10.4 -65.9 99.6 119.88
-33.2 -30.2 73.2 85.86
1.3 3.5 5.8 6.90
-12.8 -28.6 1.4 31.36
2.7 -29.6 9.1 31.08
20.4 -70.3 20.7 76.07
11.3 -139.5 4.5 140.03
7.8 -130.9 -14.2 131.90
-63.6 -127.5 42.9 148.80-1.0 -20.4 21.2 29.44
4.9 -16.9 25.5 30.98
5.4 -1.7 51.9 52.21
-13.7 -38.2 39.7 56.77
-57.4 -63.7 78.8 116.46
-61.7 -37.5 99.3 122.77
-48.7 -11.7 94.0 106.51
-7.3 12.1 41.9 44.22
-25.1 -77.3 49.1 94.95
-0.2 -93.8 31.0 98.79
-0.1 -149.5 41.8 155.23
14.0 -192.8 -14.5 193.85-11.1 -77.0 5.4 77.98
33.2 -95.2 16.4 102.15
5.2 -21.0 22.1 30.93
5.4 -17.8 22.1 28.89
0.9 -22.5 13.7 26.36
0.0 -18.7 19.1 26.73
1.1 -20.4 14.9 25.29
0.4 -20.5 17.5 26.96
0.5 -18.4 19.5 26.82
3.5 -28.3 1.2 28.54
-6.1 -27.7 7.2 29.26
-3.8 -23.5 14.3 27.77
0.1 -16.6 22.0 27.56
-3.6 -17.2 21.6 27.85
9.4 -24.6 15.2 30.41
6.2 -34.6 17.8 39.40
-8.8 -20.7 16.7 28.01
-15.8 -24.3 11.4 31.15
-32.4 0.3 20.3 38.24
11.4 -17.4 19.9 28.79
-0.2 -19.3 19.2 27.22
-1.9 -18.2 18.6 26.09
-1.2 -16.9 19.3 25.68
-0.2 -16.7 19.5 25.67
-4.0 -16.2 19.4 25.59
-0.9 -16.6 18.7 25.02
-1.8 -16.3 19.5 25.48
-2.6 -16.8 19.3 25.72
0.2 -18.2 18.4 25.88
-0.3 -16.0 19.8 25.46
0.5 -17.6 18.4 25.47
-1.1 -17.0 19.2 25.67
-0.6 -17.3 18.8 25.56
0.2 -16.6 19.2 25.38
0.2 -17.5 18.5 25.47
0.2 -17.6 18.8 25.75
0.2 -17.4 18.7 25.54
0.6 -17.4 18.6 25.48
0.1 -17.0 18.8 25.35
0.0 -17.3 18.8 25.55
1.2 -17.3 18.6 25.43
0.2 -17.5 18.8 25.69
-0.3 -17.5 18.7 25.61
-0.5 -17.2 19.0 25.63
-0.1 -17.0 18.9 25.42
0.0 -17.1 18.9 25.49
0.1 -17.3 19.0 25.70
-0.4 -17.4 19.5 26.14
-0.4 -17.0 19.2 25.65
0.1 -17.0 18.7 25.27
-0.2 -16.8 19.0 25.36
0.1 -16.9 19.1 25.50
0.0 -16.6 18.9 25.15
-0.1 -16.6 18.9 25.16
-0.1 -16.6 19.2 25.38
-0.1 -16.8 18.9 25.29
0.0 -16.7 19.3 25.52
0.0 -16.8 18.9 25.29
