x y z total
2.5 -19.4 16.6 25.65
2.9 -18.9 17.7 26.06
2.2 -18.5 18.7 26.40
2.4 -19.1 17.7 26.15
2.0 -19.9 16.1 25.68
1.8 -19.0 17.8 26.10
1.8 -18.8 17.9 26.02
1.8 -19.2 16.9 25.64
2.5 -18.1 18.7 26.14
3.2 -19.6 16.2 25.63
1.2 -15.2 21.2 26.11
0.6 -16.4 20.7 26.42
2.3 -17.7 19.7 26.58
3.7 -18.6 18.4 26.42
1.1 -22.1 11.5 24.94
-0.9 -26.7 3.4 26.93
4.9 -27.9 1.5 28.37
2.3 -24.1 20.5 31.72
-12.5 -15.2 32.3 37.82
-1.2 -125.4 25.8 128.03
-17.9 -89.7 57.7 108.15
-33.1 -76.0 71.1 109.21
-14.6 -12.5 20.2 27.88
-28.4 4.6 4.4 29.10
-5.6 -11.2 6.9 14.30
20.4 -34.6 1.8 40.21
43.9 -159.0 -32.0 168.02-126.7 -201.3 44.1 241.911.8 -49.8 -14.3 53.14
10.0 -17.6 21.1 29.24
5.5 -9.4 42.3 43.68
-15.3 7.9 62.2 64.54
2.1 -135.3 20.5 136.86
-41.5 -78.6 58.4 106.35
-38.4 -60.6 94.9 118.97
10.6 -14.2 47.6 50.79
7.0 -18.7 11.0 22.80
-3.2 -34.8 10.3 36.43
2.5 -40.0 0.4 40.08
15.2 -79.6 25.8 85.05
14.0 -142.7 -3.4 143.43
19.3 -101.4 -23.8 105.93-30.3 -289.9 51.5 295.99-2.6 -20.3 18.5 27.59
8.5 -17.9 27.3 33.73
7.6 -6.1 38.1 39.33
3.3 -9.2 34.6 35.95
-30.4 -101.2 49.5 116.69-55.3 -48.1 89.7 115.84
-68.6 -16.3 87.1 112.06
-11.5 -0.2 28.4 30.64
-26.7 -68.1 25.0 77.30
-11.6 -109.0 14.2 110.53-17.5 -132.1 33.1 137.30-1.2 -133.9 -48.0 142.254.5 80.3 21.6 83.28
-1.9 -34.7 18.1 39.18
41.4 15.2 49.0 65.92
-2.0 13.7 45.4 47.46
-24.6 -20.8 -8.9 33.42
-7.3 7.9 40.5 41.90
2.8 -19.2 19.5 27.51
-12.8 -14.3 19.7 27.50
-3.2 -14.3 20.3 25.04
-0.6 -12.5 20.7 24.19
1.9 -21.7 20.6 29.98
-0.6 -15.0 20.3 25.25
-4.5 -13.1 20.0 24.33
-2.4 -18.8 19.9 27.48
-4.5 -13.5 19.7 24.30
-2.5 -17.9 20.1 27.03
0.3 -14.4 20.2 24.81
-3.2 -17.6 20.5 27.21
-1.1 -13.7 21.0 25.10
0.1 -5.7 19.8 20.60
-8.4 -5.5 19.0 21.49
0.8 -8.9 20.9 22.73
-12.2 -16.2 20.5 28.84
-2.8 -13.8 20.5 24.87
3.7 -12.1 21.0 24.52
-4.8 -18.5 19.7 27.45
-4.3 -16.6 20.2 26.50
-0.6 -9.3 20.2 22.25
4.9 -10.9 20.4 23.64
-5.2 -14.8 20.0 25.42
-7.8 -14.6 19.8 25.81
-0.9 -12.8 20.3 24.02
-3.0 -13.6 19.9 24.29
-1.3 -14.1 20.2 24.67
-0.8 -15.6 20.5 25.77
-2.7 -16.0 20.3 25.99
-2.4 -13.4 20.0 24.19
-1.0 -13.6 20.4 24.54
-2.7 -14.0 20.2 24.73
-2.6 -14.2 20.3 24.91
-2.3 -14.4 20.4 25.08
-2.2 -14.6 20.2 25.02
-2.2 -14.7 19.9 24.84
-2.7 -15.0 20.1 25.22
-2.1 -14.8 20.0 24.97
-2.8 -14.9 19.8 24.94
-2.1 -15.1 19.8 24.99
-2.2 -15.1 20.1 25.24
-2.3 -14.9 19.8 24.89
-2.4 -14.6 20.0 24.88
-2.7 -14.8 19.7 24.79
-2.6 -14.7 19.6 24.64
