x y z total
-3.0 -14.1 18.7 23.61
-3.0 -15.0 19.5 24.78
-2.1 -15.7 19.6 25.20
-2.1 -15.8 19.6 25.26
-1.2 -16.0 19.6 25.33
-1.3 -15.2 19.8 25.00
-1.6 -15.2 19.7 24.93
-0.7 -15.0 19.9 24.93
-2.8 -15.2 19.8 25.12
-2.1 -15.0 19.8 24.93
-3.7 -15.7 19.7 25.46
-2.0 -14.5 20.1 24.86
-2.1 -13.8 20.8 25.05
3.6 -12.2 22.9 26.20
-17.8 -23.5 14.3 32.77
12.6 -19.4 11.6 25.88
8.2 -16.9 21.5 28.55
8.2 -14.1 25.5 30.27
-45.0 -7.9 40.6 61.12
-40.2 -78.5 25.3 91.75
-23.5 -89.7 39.8 100.91
1.6 -75.4 56.6 94.29
-8.2 -13.7 17.0 23.32
-18.5 1.9 -0.4 18.60
-0.3 -9.9 -10.5 14.43
10.5 -27.4 -26.7 39.67
27.7 -58.0 -32.3 71.93
33.7 -112.6 -26.7 120.53-61.1 -117.6 84.4 157.128.9 -33.5 22.0 41.05
-4.5 -19.6 20.4 28.65
-26.5 7.7 72.8 77.85
19.7 -119.0 9.9 121.03
-45.5 -137.2 45.9 151.66-33.0 -86.6 96.3 133.65
-33.9 -13.0 69.4 78.32
-6.1 26.9 10.0 29.34
-21.0 -24.2 16.8 36.18
-9.1 -40.4 20.9 46.39
5.1 -91.6 21.9 94.32
4.6 -175.8 -8.5 176.07
4.6 -122.8 -28.2 126.08
-77.5 -248.1 33.7 262.1023.1 -24.5 12.8 36.02
13.6 -13.8 34.7 39.74
0.2 -0.2 41.6 41.60
-6.2 -71.7 38.2 81.48
-33.4 -121.4 54.7 137.28-69.2 -17.5 90.5 115.26
-38.9 -9.4 66.8 77.87
15.4 10.6 12.4 22.43
-11.8 -42.2 31.7 54.08
-4.3 -93.9 38.2 101.46
7.4 -185.5 42.2 190.38
39.3 -151.5 -37.4 160.92-70.7 103.5 86.6 152.35
64.6 -201.9 15.8 212.57
0.8 -19.3 20.0 27.81
2.7 -15.8 21.8 27.06
-5.3 -23.4 13.5 27.53
-6.0 -14.8 26.2 30.68
1.5 -19.7 16.8 25.93
1.8 -27.3 5.0 27.81
-4.0 -30.8 -3.6 31.27
-4.4 -28.7 0.7 29.04
6.0 -17.0 14.2 22.95
11.9 -9.0 22.7 27.16
17.2 -3.7 28.2 33.24
2.1 -7.6 26.6 27.74
-1.4 -23.4 17.4 29.19
3.5 -19.6 19.1 27.59
-7.8 -21.1 18.3 29.00
-3.7 -10.8 20.3 23.29
-1.3 -13.2 19.9 23.92
-7.5 -11.2 19.6 23.79
-6.8 -15.8 20.9 27.07
2.3 -14.6 20.6 25.35
-2.8 -12.1 20.2 23.71
-4.8 -11.9 20.2 23.93
-6.3 -16.0 20.1 26.45
-7.5 -12.6 19.1 24.08
-9.8 -16.5 18.4 26.59
-2.8 -16.2 19.6 25.58
-7.4 -13.7 18.9 24.49
-8.5 -14.5 19.2 25.52
-3.4 -16.8 19.4 25.89
-7.1 -13.7 18.8 24.32
-3.0 -16.2 19.2 25.30
-4.8 -15.1 19.1 24.82
-0.1 -16.7 19.8 25.90
-3.3 -16.3 19.1 25.33
-1.9 -16.2 19.4 25.35
-1.9 -16.0 19.1 24.99
-1.8 -16.4 19.5 25.54
-2.6 -16.1 19.4 25.34
-1.6 -16.3 19.1 25.16
-0.3 -17.6 18.4 25.46
-1.8 -16.8 19.1 25.50
-1.8 -16.8 19.1 25.50
-1.5 -16.6 19.0 25.27
-1.6 -16.9 19.0 25.48
-1.2 -16.9 19.0 25.46
-1.3 -16.8 19.0 25.40
-1.4 -16.9 19.0 25.47
-1.1 -17.2 18.9 25.58
-1.0 -17.0 19.2 25.66
-1.9 -16.6 19.1 25.38
-1.1 -16.8 19.2 25.54
-1.2 -16.9 18.8 25.31
