x y z total
-1.0 -16.1 19.7 25.46
-1.3 -16.7 19.6 25.78
0.0 -18.6 19.9 27.24
8.5 -18.0 19.0 27.52
5.9 -19.8 17.2 26.88
-0.7 -17.2 16.7 23.98
-7.1 -17.8 16.7 25.42
-18.6 -11.7 18.7 28.85
-4.7 -17.1 19.5 26.36
-0.6 -18.0 19.3 26.40
0.8 -16.9 19.3 25.67
-0.6 -15.8 19.4 25.03
-0.4 -16.5 19.3 25.39
-0.8 -16.3 19.4 25.35
-0.1 -16.7 19.0 25.30
-0.3 -16.4 19.1 25.18
-0.9 -17.5 19.0 25.85
-1.1 -17.6 18.9 25.85
0.5 -17.7 18.8 25.83
0.0 -18.3 18.1 25.74
-0.1 -18.2 18.1 25.67
0.0 -18.0 18.3 25.67
-0.1 -18.1 18.4 25.81
-0.5 -18.2 18.4 25.89
-0.2 -18.1 18.3 25.74
-0.8 -18.3 19.3 26.61
-0.1 -18.1 21.8 28.33
-1.1 -16.2 25.6 30.32
-1.2 -15.9 28.5 32.66
2.7 -31.1 22.7 38.60
-7.3 -70.7 25.0 75.34
-6.6 -6.5 20.0 22.04
0.2 4.6 15.4 16.07
2.0 -13.0 18.4 22.62
4.5 -24.9 28.1 37.81
3.2 -34.6 36.2 50.18
1.1 -53.0 33.7 62.82
13.8 -65.7 -4.2 67.26
-11.4 -22.6 39.1 46.58
6.0 -24.7 23.0 34.28
7.6 -38.1 22.1 44.70
0.3 -22.4 19.6 29.77
-1.0 -16.9 19.1 25.52
-1.0 -16.9 18.7 25.22
-1.2 -16.9 19.1 25.53
0.0 -16.7 19.2 25.45
0.2 -17.6 19.3 26.12
0.1 -17.9 19.3 26.32
0.8 -17.9 19.3 26.34
1.2 -17.2 21.7 27.72
0.6 -17.4 22.0 28.06
-13.7 -14.9 33.9 39.48
-0.8 -58.2 28.4 64.76
-19.6 -16.5 29.0 38.70
-9.6 -52.0 26.1 58.97
-3.5 -8.3 8.1 12.11
-9.7 -16.2 10.7 21.70
-9.2 -23.7 16.3 30.20
-6.2 -30.9 24.1 39.67
-3.9 -60.7 28.1 67.00
14.8 -82.4 -16.1 85.25
8.0 -55.9 -13.5 58.06
5.2 -54.8 30.9 63.13
-1.7 -48.2 20.5 52.41
1.3 -18.8 19.4 27.05
0.1 -17.4 19.4 26.06
-1.4 -17.6 19.0 25.94
-1.1 -17.6 18.6 25.63
