x y z total
-0.4 -15.1 18.7 24.04
0.2 -15.4 19.6 24.93
0.7 -15.4 19.6 24.94
0.6 -15.6 19.5 24.98
-0.8 -14.6 19.6 24.45
1.2 -14.7 20.9 25.58
3.4 -14.8 20.5 25.51
3.1 -18.1 21.3 28.12
5.3 -18.4 17.5 25.94
6.8 -19.2 22.5 30.35
1.4 -13.5 33.8 36.42
-13.1 -10.4 32.1 36.20
-1.8 -33.5 24.4 41.48
4.2 -87.1 34.3 93.70
-14.4 -66.1 62.2 91.90
-3.0 -38.7 32.2 50.43
-10.7 7.1 1.5 12.93
-13.3 3.5 -2.4 13.96
30.0 -48.9 -19.5 60.59
20.0 -87.3 -16.7 91.11
30.4 -123.1 -26.7 129.58-121.8 -192.3 64.4 236.511.0 -14.9 21.5 28.38
1.3 -19.7 21.3 29.04
1.4 -11.2 41.6 43.10
-19.8 16.7 63.4 68.49
13.5 -140.0 11.3 141.10
-26.2 -74.7 98.1 126.06
-3.9 -49.9 96.6 108.80
-9.6 -10.6 49.7 51.72
5.4 18.9 -1.7 19.73
6.1 -34.9 10.3 36.90
9.9 -36.9 11.5 39.90
10.0 -70.0 23.8 74.61
1.4 -137.4 5.4 137.51
-105.1 69.8 21.0 127.90
29.7 -81.9 6.0 87.33
-12.4 -20.5 25.3 34.84
-5.5 -17.4 21.7 28.35
10.4 -13.1 35.8 39.51
-2.0 -69.6 36.4 78.57
-63.6 -110.4 58.9 140.36-49.3 -36.7 79.7 100.65
-51.4 -22.7 85.1 101.98
-1.9 -19.4 23.9 30.84
-11.8 -66.1 34.5 75.49
-1.1 -85.0 14.9 86.30
-3.8 -100.9 13.7 101.90
-5.5 -132.3 -51.5 142.0823.5 135.3 75.7 156.81
-16.3 -198.2 78.7 213.888.1 -29.2 18.5 35.50
13.9 -3.3 24.8 28.62
-27.4 -20.4 18.7 38.94
-22.8 -22.7 15.5 35.71
4.7 -17.5 18.5 25.90
4.2 -12.6 22.9 26.47
2.3 -18.0 17.7 25.35
0.5 -14.7 20.0 24.83
-1.8 -15.9 19.7 25.38
-2.8 -16.8 19.3 25.74
1.5 -14.9 20.1 25.07
-1.2 -15.6 19.8 25.24
-1.8 -18.6 19.5 27.01
-1.1 -13.4 19.6 23.77
-0.7 -14.8 19.9 24.81
-2.8 -14.9 19.7 24.86
-0.5 -17.8 19.9 26.70
-2.1 -15.2 19.7 24.97
-1.3 -15.4 20.1 25.35
-2.2 -16.6 19.9 26.01
-2.7 -15.5 20.0 25.45
-2.5 -15.5 19.9 25.35
-3.2 -15.0 19.7 24.97
-3.9 -13.8 19.7 24.37
-2.4 -15.5 20.1 25.50
-2.2 -14.8 20.3 25.22
-3.2 -14.1 19.8 24.52
-2.0 -16.1 19.7 25.52
-3.0 -14.5 19.7 24.64
-1.8 -14.7 20.1 24.97
-1.6 -16.0 19.9 25.58
-2.3 -14.6 19.7 24.63
-2.8 -14.4 19.7 24.56
-1.6 -15.5 20.0 25.35
-2.0 -15.7 19.6 25.19
-1.7 -15.6 19.8 25.26
-2.5 -15.0 19.7 24.89
