x y z
-196 -16 -19
-238 -9 -1
-284 -6 -6
-325 -6 -7
-396 -40 -86
-330 -57 -108
-284 -64 -88
-235 -49 -66
-164 -33 -37
-101 -37 -25
-121 -24 -28
-163 -34 -29
-207 -44 -28
-257 -59 -44
-270 -62 -49
-301 -59 -27
-252 -50 -76
-230 52 -198
-347 48 -175
-446 89 -226
-487 77 -211
-312 -12 -108
-64 -82 -106
86 -77 -24
91 -69 -37
-65 -109 -37
-382 -154 -164
-637 -149 -268
-515 -63 -219
-183 -18 -102
97 35 -30
81 20 -9
36 8 -34
-257 67 -100
-646 115 -340
-668 29 -228
-508 -28 -132
95 -97 -47
75 -75 -40
27 -79 -48
-60 -114 42
-727 -210 -265
-556 -72 -237
-403 21 -113
-111 17 -73
57 27 -49
28 22 -38
-187 56 -62
-652 103 -313
-473 -30 -149
-226 -83 -117
75 -98 -27
129 -94 -46
-63 -160 45
-413 -136 -123
-741 -192 -334
-536 -57 -222
-67 -2 -35
174 51 -9
88 54 -67
-45 36 -28
-608 139 -374
-768 71 -244
-440 -73 -108
-153 -92 -126
140 -87 -76
52 -105 -19
-143 -181 15
-613 -165 -362
-475 40 -202
-272 3 -71
68 20 13
206 62 -24
-124 50 12
-404 56 -146
-695 103 -393
-654 -99 -151
-22 -78 -59
92 -106 -86
143 -55 -63
-19 -123 27
-611 -169 -434
-638 -172 -190
-458 28 -138
-214 -6 -59
154 61 -29
5 47 -74
-144 11 47
-381 60 -157
-641 -82 -147
-320 -131 -54
-89 -71 -80
105 -83 -73
48 -129 20
-256 -176 -63
-704 -182 -447
-628 -186 -157
-198 -33 -2
102 49 -21
178 91 -54
16 25 -44
-461 105 -184
-753 112 -362
-573 -145 -113
-213 -115 -60
144 -95 -76
112 -73 -57
-85 -161 51
-422 -119 -141
-559 -52 -163
-404 24 -73
-131 22 -32
178 71 4
-30 22 -55
-168 -35 -37
-569 117 -348
-810 58 -220
-178 -83 -83
92 -85 -54
124 -88 -69
20 -113 -34
-451 -83 -227
-786 -257 -131
-476 -52 -166
-373 27 -91
-22 23 -28
83 50 -69
-90 15 -24
-296 12 -79
-652 54 -431
-378 -131 -78
-176 -65 -101
97 -92 -59
137 -69 -71
-165 -224 40
-658 -239 -406
-646 -209 -187
-415 -29 -135
-1 2 -3
213 78 -62
67 72 -73
-85 -3 6
-622 101 -403
-569 -42 -117
-425 -73 -94
-259 -83 -45
209 -88 -80
90 -91 -11
-122 -155 -13
-914 -263 -190
-248 -50 -33
-495 -35 -61
-275 -65 22
-16 -4 10
31 65 -46
-104 93 -157
-753 -54 -214
-499 42 -160
-285 -97 -21
-136 -69 -11
-21 -75 -9
10 -45 -38
-100 -64 -86
-996 -319 -189
-284 47 -204
-376 -34 -29
-201 -45 19
-110 -15 5
-96 -31 3
-118 -28 -19
-224 -87 39
-385 -3 -19
-501 31 -129
-379 18 -56
-222 -11 -9
-153 -30 -16
-92 -33 -18
-120 -40 7
-200 -26 11
-241 -22 32
-274 -28 34
-370 -67 56
-330 -80 -2
-298 -101 -20
-268 -55 3
-201 -13 -3
-146 -37 9
-183 -42 17
-182 -61 21
-217 -62 29
-266 -55 37
-292 -64 50
-332 -63 73
-298 -36 35
-294 14 -14
-276 -2 -6
