x y z
95 11 216
92 9 221
94 11 219
96 9 219
94 10 217
94 8 221
93 10 219
96 9 218
94 11 218
93 11 219
93 11 219
93 10 219
91 8 217
89 11 220
89 11 215
90 12 224
93 17 221
82 12 220
89 14 221
93 12 242
92 12 209
115 13 212
136 16 208
116 22 203
127 28 188
90 37 226
81 45 214
95 51 205
108 42 208
104 39 214
111 37 219
108 50 216
125 35 218
145 45 182
135 45 206
133 48 207
145 47 168
136 44 188
109 41 184
108 38 237
92 48 210
94 40 224
100 47 235
94 43 228
99 27 213
114 35 243
141 10 183
170 24 169
114 26 224
82 37 221
59 67 213
70 67 179
71 75 154
66 14 269
74 10 271
62 9 264
38 54 217
47 101 132
38 92 211
-7 20 292
91 -5 243
134 47 188
89 80 178
53 3 294
9 -41 313
87 25 205
59 104 166
53 48 232
60 8 290
71 35 243
48 74 180
34 33 278
55 36 256
94 77 183
44 91 194
40 66 254
58 42 277
72 57 232
69 108 142
54 95 151
55 89 198
71 62 249
87 57 209
49 75 218
34 80 208
48 85 210
34 86 208
33 90 192
27 87 208
37 77 217
51 64 218
53 67 216
61 64 227
45 63 208
41 71 206
50 53 236
57 56 222
52 52 199
83 43 240
107 32 222
81 39 229
118 50 184
183 44 156
186 40 159
179 45 157
152 49 195
101 56 209
96 61 200
73 72 230
104 66 187
144 48 173
196 38 162
151 64 188
80 57 205
84 66 209
85 68 204
69 62 222
91 72 203
90 72 196
82 66 210
106 80 187
91 73 203
96 77 202
89 74 199
97 82 201
102 83 197
