x y z
171 58 141
181 69 148
177 74 152
166 81 150
176 68 146
165 74 159
170 78 160
171 93 156
169 81 153
167 73 149
182 82 152
184 79 144
180 71 139
186 74 145
188 68 141
176 66 151
163 54 171
296 34 182
393 13 140
223 42 162
-14 54 99
-335 128 99
-253 128 18
-84 39 113
314 -23 185
576 -65 195
476 39 176
281 29 126
5 8 89
-181 74 -19
-420 139 -76
-271 93 25
-25 6 186
499 -46 209
671 -88 173
367 -6 148
54 3 114
-329 73 19
-494 155 -93
-166 63 74
264 -27 215
620 -83 270
729 -44 163
513 2 150
-124 -36 44
-367 40 -48
-474 101 -56
-457 95 62
-45 -60 318
447 -163 228
627 -165 170
600 -86 24
143 -4 81
-86 34 115
-186 96 184
-97 148 274
130 22 373
251 -16 359
321 -67 206
303 -100 -4
394 -102 -186
207 6 -159
79 -56 70
25 -69 397
331 136 687
172 10 284
218 -77 56
272 -177 -206
338 -115 -314
197 42 12
119 7 180
61 183 643
181 232 557
157 1 117
306 -117 -113
366 -136 -257
346 -66 -188
293 -20 -75
-56 59 382
363 196 580
264 120 478
190 23 241
293 -187 -142
404 -155 -275
316 -52 -152
275 19 -60
84 -70 260
61 23 518
152 85 443
155 33 194
154 57 104
133 65 142
149 83 153
68 92 197
156 102 189
105 95 206
170 69 146
107 85 177
153 72 151
153 106 162
145 93 171
146 86 169
118 99 169
157 108 140
125 101 151
157 104 143
165 113 134
135 96 159
