x y z
183 71 119
192 74 130
192 74 135
192 74 134
190 73 132
186 71 132
182 77 138
190 81 135
173 72 140
174 86 150
149 113 158
161 116 156
159 98 158
162 98 138
152 93 146
160 99 147
156 98 153
157 100 159
139 108 161
148 108 174
137 108 139
134 102 154
171 101 172
220 86 232
308 106 298
271 108 288
25 90 -8
-80 72 -185
-116 97 -298
-164 109 -232
-148 59 -27
494 -5 412
643 -112 306
542 -65 167
257 -19 146
-72 101 -12
-367 177 -42
-318 171 22
-34 133 184
630 -126 187
606 -106 124
384 -22 90
184 8 40
-439 204 175
-112 186 143
101 87 166
415 -21 116
529 -54 72
261 42 116
15 160 332
27 185 350
134 92 201
348 -32 -216
317 -34 -237
187 59 -123
111 57 -5
276 137 487
310 128 423
252 86 244
236 3 24
209 -62 -159
196 43 -152
121 54 -51
210 10 208
237 78 495
209 99 353
235 -37 101
265 -115 -137
284 -92 -228
165 46 -59
204 -24 174
205 19 421
176 51 490
164 75 271
201 -5 78
232 -57 -88
309 -77 -178
299 -11 -104
210 -9 168
79 5 375
-7 136 544
88 143 393
200 11 69
273 -26 -71
282 -2 -127
281 28 -44
81 26 139
87 31 312
132 122 448
164 82 350
199 10 108
239 -15 -45
253 2 -91
231 27 -25
168 42 63
351 30 311
394 -2 284
370 -5 182
311 -1 82
-134 59 -50
-379 191 23
-193 185 55
-54 95 209
577 -83 164
631 -137 99
431 -39 116
225 10 97
-350 151 1
-394 214 -8
-239 136 33
-41 -16 217
510 -115 228
616 -109 110
375 -57 135
104 -7 111
-116 64 27
-341 211 44
-172 101 111
181 -4 178
564 -75 142
348 1 98
179 81 105
11 115 126
-52 152 147
188 94 437
398 39 303
355 -57 120
282 -60 12
223 -30 -105
138 94 -149
65 48 30
218 1 337
324 82 565
231 8 215
226 -69 -37
246 -125 -210
249 -92 -233
124 2 61
180 -11 375
326 45 505
327 43 381
160 0 140
205 -60 -46
253 -89 -128
318 -42 -134
290 -5 -78
138 -37 273
231 -3 469
264 31 444
208 21 323
221 -83 -5
277 -116 -128
311 -59 -110
258 8 7
144 58 166
165 61 210
149 47 188
178 17 185
391 -74 179
561 -94 144
440 -148 128
170 -122 126
-155 31 35
-289 180 31
-154 50 137
280 -107 224
598 -189 195
515 -133 110
275 -83 86
54 -2 40
-208 72 -22
-234 166 110
-7 74 259
311 -77 216
517 -166 203
637 -171 -9
362 -58 75
167 -22 76
-166 29 10
-439 216 66
-164 56 181
285 -77 224
544 -154 195
613 -157 94
360 -31 96
173 -2 111
-39 42 59
-289 172 78
-162 127 50
13 5 194
436 -16 165
461 -58 141
401 -38 69
191 48 104
152 67 175
164 85 357
254 96 364
312 -112 -122
240 -130 -190
231 -75 -138
186 -5 -57
182 -10 370
247 41 552
241 49 432
191 1 236
241 -96 -55
322 -88 -143
314 -21 -101
259 31 -7
176 23 80
183 103 515
261 54 342
242 -37 162
323 -112 -31
317 -101 -154
251 -8 -77
149 11 55
144 10 233
291 71 394
231 17 206
236 -55 46
296 -75 -95
275 -4 -64
220 46 44
166 67 165
153 96 237
200 98 211
218 22 105
243 -2 50
256 -14 56
309 -24 95
523 -14 154
397 -130 122
2 -78 18
-331 123 -12
-152 130 49
82 29 219
471 -54 244
537 -105 202
396 -19 80
228 10 56
84 58 16
-84 112 -32
-278 196 23
-144 76 121
146 -37 255
590 -137 176
631 -148 139
318 -48 109
105 5 85
-102 86 26
-282 199 9
