x y z
23 -169 177
26 -179 184
19 -181 184
25 -183 181
22 -188 178
23 -189 178
21 -188 183
10 -194 184
2 -197 180
30 -226 105
51 -211 115
67 -238 79
29 -273 117
15 -231 141
21 -202 178
14 -212 152
48 -253 67
-64 -183 318
-139 -664 548
-110 -207 384
38 -445 203
387 -614 28
-29 -412 220
32 -213 208
3 17 547
-224 -844 63
-250 -101 673
-83 -372 296
78 -366 187
131 -1285 144
-375 -1680 -47
121 -105 370
-137 -554 399
-525 -363 848
-321 -35 578
-554 -1814 216
581 857 -65
-243 -374 196
6 -187 191
1 -167 190
-3 -151 201
-24 -142 202
-21 -146 202
-22 -145 199
-14 -141 204
-9 -142 204
-1 -139 200
-3 -147 202
-1 -145 199
-5 -146 203
-6 -147 203
