x y z
29 -169 189
33 -169 189
28 -169 189
29 -167 192
27 -171 190
27 -177 194
6 -194 174
-10 -209 154
-15 -248 123
4 -255 110
-32 -244 120
33 -213 166
-5 -266 12
31 -228 228
-324 -840 281
-45 -566 509
12 -112 349
137 -400 114
80 -674 259
44 -212 209
-6 -11 508
-198 -1180 -159-240 -326 777
-41 -447 103
-5 -488 250
-34 -1434 97
-992 -1371 -17171 -134 337
14 -260 349
-487 -361 785
-325 -82 462
-656 -1228 -214255 -1616 -337
-546 -105 435
-46 -177 205
9 -145 206
-3 -131 211
21 -127 215
-13 -80 205
-3 -83 216
1 -146 224
-10 -152 214
-1 -138 204
3 -147 205
3 -140 204
7 -149 201
-1 -145 202
