x y z
-13 -135 197
-14 -141 206
-14 -141 207
-15 -141 205
-16 -141 206
-14 -141 207
-20 -139 206
-15 -142 207
-16 -140 206
-14 -141 205
-8 -141 205
-16 -139 206
-8 -139 208
-15 -140 206
-15 -139 208
-17 -137 210
-18 -138 208
-23 -133 208
-19 -132 207
-15 -133 211
-10 -139 208
0 -137 212
-2 -137 216
20 -155 201
39 -148 229
5 -118 284
-101 -101 290
-116 -318 322
-314 -554 561
36 -321 468
-175 -499 244
-112 -307 2
-30 -185 -74
161 -472 -94
9 -904 -152
-23 -995 -330
167 -1975 751
31 -123 243
-19 -181 249
-14 -85 432
-93 135 576
-238 -1198 282
-454 -625 898
-337 -699 949
-155 -179 487
-187 -122 -54
-54 -182 -32
-24 -269 -10
135 -888 -17
-655 -861 -225
110 -657 231
-72 -136 228
-56 -165 310
-219 40 455
-56 -956 128
-546 -776 500
-381 -527 909
-227 -211 710
-27 106 59
-119 -161 69
-129 -449 153
162 -1211 54
18 -1805 -254
-26 -1133 -229
387 -2233 1099
-106 -179 272
50 -77 488
-154 294 698
-35 -1292 342
-330 -517 878
-107 -561 951
-269 -239 753
-158 48 108
-252 -523 -10
-51 -324 -102
21 -489 47
14 -1029 59
-197 -966 -84
491 -2486 379
134 -63 204
-21 -169 288
-95 -178 717
-389 -1179 246
-658 -609 1010
-124 -723 1062
-189 81 229
-115 -121 53
-170 -537 148
-92 -479 47
-367 -1773 -58
32 -1350 -508
-1524 874 182
-79 -262 128
-146 -135 244
45 154 609
-270 -822 523
-584 -1541 241
-691 -597 848
-30 -334 1013
-163 64 343
-19 -116 51
-75 -467 224
-34 -919 166
-189 -1815 -92
88 -1427 -471
-715 -498 467
97 -177 267
109 -15 527
-94 313 568
-58 -1212 301
-246 -663 937
-60 -790 1009
-463 -184 767
-34 208 -21
-247 -825 -65
-8 -447 -226
47 -929 -9
-49 -1388 -203
-167 -498 394
152 -129 219
-21 -180 247
-42 -106 477
163 -1033 136
-603 -1357 413
-456 -506 818
-242 -736 1033
-336 113 479
120 229 94
-71 -536 304
-66 -570 201
-280 -1710 28
117 -1661 -513
-1448 -1805 1043
237 -182 71
96 -23 504
-211 116 408
-21 -1254 232
-522 -707 615
-119 -702 992
-364 -56 804
-106 323 113
-129 -213 225
-63 -459 213
-192 -1042 342
63 -1819 -279
-122 -1378 -373
211 -213 44
-57 -138 253
4 -28 502
-91 109 514
-560 -1200 308
-628 -448 681
-326 -525 869
-256 -415 885
139 -45 208
49 -495 337
149 -540 291
-87 -606 418
579 -1312 -611
107 -869 -368
-1489 -1749 127
418 -88 -16
30 -207 193
-6 -160 291
23 -165 209
-37 -134 251
-247 -549 497
-437 -219 701
-149 -32 312
-48 -81 76
-9 -363 43
-86 -447 80
-10 -553 169
66 -691 127
93 -416 -48
-133 -266 494
132 -340 278
31 -442 155
23 -186 196
13 -174 196
-7 -161 199
-17 -147 199
-3 -146 202
-7 -148 203
-31 -136 202
-5 -152 204
0 -151 204
-19 -139 206
-17 -152 200
11 -156 202
-14 -145 202
12 -155 202
-21 -139 202
-25 -139 209
8 -153 206
4 -152 202
8 -153 200
9 -153 200
2 -148 205
5 -153 199
4 -151 202
4 -149 202
