x y z total
5.0 -10.3 -25.4 27.86
3.7 -11.7 -24.7 27.58
3.0 -10.2 -28.5 30.42
5.8 -9.3 -27.5 29.60
6.4 -12.9 -25.0 28.85
6.5 -14.0 -24.8 29.21
5.2 -14.1 -23.3 27.73
6.0 -15.3 -22.9 28.19
6.3 -15.1 -25.1 29.96
7.1 -15.2 -23.9 29.20
7.8 -17.0 -22.8 29.49
5.5 -16.6 -21.6 27.79
7.5 -15.7 -22.9 28.76
7.4 -15.5 -23.3 28.95
6.0 -17.2 -22.2 28.72
7.3 -18.0 -21.8 29.20
7.1 -16.7 -20.9 27.68
7.1 -14.8 -22.4 27.77
6.4 -13.9 -23.9 28.38
7.2 -14.2 -25.0 29.64
6.6 -12.5 -25.3 28.98
8.8 -10.2 -25.1 28.49
7.7 -11.5 -25.5 29.01
4.4 -10.4 -27.0 29.27
4.9 -9.8 -26.9 29.05
4.6 -8.1 -27.3 28.85
5.5 -4.2 -27.9 28.75
-6.3 10.7 -44.2 45.91
5.8 23.0 -40.6 47.02
7.5 15.4 -34.3 38.34
4.3 7.7 -26.9 28.31
1.2 2.0 -28.7 28.79
-9.0 9.5 -23.5 26.90
-15.8 14.2 -27.1 34.43
-14.4 24.4 -24.5 37.46
-17.0 31.6 -25.5 44.02
-10.2 21.4 -17.3 29.35
12.4 -6.1 -12.4 18.57
20.4 -14.4 -3.7 25.24
14.5 -1.4 -3.3 14.94
1.5 10.8 -8.5 13.83
-1.0 26.4 -26.7 37.56
4.7 40.8 -16.5 44.26
31.5 72.6 7.6 79.50
-14.6 -3.1 -7.3 16.62
-1.3 -10.5 -11.4 15.55
-5.6 2.9 -5.0 8.05
-11.9 16.6 6.5 21.43
-11.8 30.3 -23.1 39.89
-38.2 54.8 -12.1 67.89
-41.1 55.0 -9.0 69.25
0.1 27.0 -8.1 28.19
27.1 -0.6 -6.6 27.90
8.6 4.9 1.4 10.00
6.4 12.0 3.1 13.95
23.2 23.6 -5.1 33.48
-26.2 34.5 -50.0 66.16
3.7 53.6 -3.1 53.82
-0.7 38.9 -3.2 39.04
-5.3 7.6 1.8 9.44
-0.5 -13.2 -4.2 13.86
-23.1 9.2 -4.3 25.23
-5.0 -4.8 -6.7 9.64
-22.6 11.9 -25.9 36.38
7.7 54.3 -30.4 62.71
-18.4 53.6 1.7 56.70
-2.9 36.2 2.5 36.40
-3.8 15.4 -2.0 15.99
0.6 11.8 1.3 11.89
10.0 -2.8 0.7 10.41
9.6 -6.7 -7.1 13.69
21.3 8.5 -1.2 22.96
16.9 13.0 -40.5 45.77
-14.6 103.8 -12.3 105.54
-9.9 19.1 -15.4 26.46
-3.2 28.6 -6.5 29.50
2.3 33.0 -5.4 33.52
4.9 14.9 -7.8 17.52
-1.8 19.4 -32.2 37.64
-4.5 36.9 -20.8 42.60
-9.5 35.7 -14.7 39.76
-1.9 29.0 -16.2 33.27
-4.7 23.2 -15.9 28.52
-3.4 21.1 -12.5 24.76
-5.2 17.8 -11.2 21.66
-4.8 17.6 -12.9 22.34
-2.8 17.5 -12.1 21.46
-2.9 21.6 -10.6 24.23
-2.0 21.8 -10.0 24.07
-1.9 20.5 -8.1 22.12
-4.0 20.4 -6.3 21.72
-2.4 24.8 -9.1 26.53
-3.8 24.3 -7.7 25.77
-2.8 21.7 -8.6 23.51
-2.4 21.1 -4.8 21.77
-3.8 22.5 -3.4 23.07
-3.2 21.8 -2.9 22.22
-3.5 22.3 -1.8 22.64
-3.2 23.2 -2.8 23.59
-3.4 23.2 -3.2 23.67
-3.4 22.4 -3.1 22.87
-2.7 22.8 -2.5 23.10
-1.7 23.5 -2.7 23.72
-2.5 24.3 -2.6 24.57
-2.4 24.6 -3.0 24.90
-1.7 23.2 -1.4 23.30
-2.3 22.0 -1.9 22.20
-2.0 23.3 -0.4 23.39
-2.4 24.5 -1.1 24.64
-2.3 23.5 -1.6 23.67
-1.8 24.4 -0.5 24.47
-2.5 24.7 2.2 24.92
-2.9 23.2 -1.0 23.40
-2.3 23.4 -0.2 23.51
-3.0 23.2 -0.4 23.40
-2.6 23.2 -2.1 23.44
-3.0 22.9 0.9 23.11
-2.0 23.2 0.2 23.29
-3.0 24.8 -2.3 25.09
-2.7 23.6 -0.7 23.76
-3.1 23.6 -0.3 23.80
-2.8 22.6 1.4 22.82
-2.6 24.3 0.0 24.44
-2.9 23.3 -0.8 23.49
-3.3 23.3 -0.4 23.54
-3.7 23.6 0.3 23.89
-2.9 21.5 2.6 21.85
-3.0 22.6 1.4 22.84
-3.6 24.5 -1.1 24.79
-3.1 22.7 1.0 22.93
-2.5 22.5 2.6 22.79
-3.1 22.8 2.4 23.13
-2.9 22.3 1.7 22.55
-3.2 23.1 1.5 23.37
-3.2 22.7 1.3 22.96
-3.4 23.3 2.1 23.64
