x y z total
-1.7 -1.6 -26.9 27.00
0.1 2.7 -26.2 26.34
0.3 6.6 -27.3 28.09
-0.4 14.7 -24.6 28.66
-1.2 19.9 -37.2 42.21
-4.8 18.8 -33.9 39.06
-2.0 11.8 -25.9 28.53
-3.1 2.9 -28.9 29.21
-3.0 2.9 -30.1 30.39
-13.1 16.0 -24.5 32.06
-11.2 21.4 -19.8 31.23
-16.6 28.1 -25.0 41.11
-20.2 45.0 -24.5 55.08
4.0 -7.5 -16.1 18.21
19.9 -19.7 -1.3 28.03
29.6 -0.8 -6.6 30.34
-3.2 17.2 -7.2 18.92
-8.9 3.1 -38.7 39.83
26.9 35.3 -20.2 48.76
27.0 55.5 -11.9 62.86
14.5 39.7 -10.9 43.65
-8.6 -21.2 -8.6 24.44
-9.0 0.7 -3.3 9.61
-5.4 26.2 -0.4 26.75
2.1 19.7 -25.7 32.45
-8.1 23.8 -29.6 38.84
-42.2 57.8 -18.5 73.92
3.5 34.0 -12.5 36.39
27.7 -6.5 -15.0 32.16
-6.0 -30.2 -7.0 31.58
12.1 12.4 -3.7 17.72
8.5 2.4 -4.5 9.91
-20.9 6.5 -46.6 51.48
20.6 72.9 -33.2 82.71
18.9 56.1 -0.3 59.20
1.0 25.3 -0.5 25.32
-6.4 -13.8 -10.3 18.37
11.2 -6.1 -11.2 16.97
-6.8 -6.2 -4.9 10.43
-11.7 3.9 -21.6 24.87
17.3 71.1 -26.5 77.83
-6.5 76.6 -19.3 79.26
-10.0 39.2 5.2 40.79
-6.8 11.7 -5.4 14.57
-8.3 -0.6 -1.4 8.44
1.3 9.3 -5.7 10.98
8.8 -13.8 -1.2 16.41
8.0 23.9 -29.0 38.42
-1.9 117.7 -15.3 118.71
1.5 29.2 -12.7 31.88
-11.7 10.1 -8.4 17.59
4.4 24.8 -6.2 25.94
0.8 10.8 -16.9 20.07
6.2 20.0 -27.3 34.41
-11.0 50.9 -31.8 61.02
2.5 27.1 -18.9 33.13
2.1 24.1 -17.3 29.74
-0.8 19.9 -12.2 23.36
-1.4 17.3 -12.4 21.33
0.0 11.3 -6.7 13.14
0.2 19.6 -13.4 23.74
1.4 18.5 -8.4 20.37
-0.2 21.9 -8.8 23.60
-0.3 17.6 -10.4 20.45
1.5 24.6 -8.0 25.91
4.1 20.9 -7.4 22.55
1.6 26.4 1.5 26.49
1.2 23.2 -5.1 23.78
-0.6 22.2 0.2 22.21
-2.0 22.8 -4.1 23.25
1.0 24.3 -2.0 24.40
-0.8 22.5 -1.0 22.54
1.2 19.3 1.5 19.40
-0.9 23.6 -0.1 23.62
-0.4 22.4 2.1 22.50
-0.4 23.4 0.2 23.40
0.1 22.4 1.5 22.45
0.1 23.2 1.9 23.28
0.1 24.3 0.8 24.31
0.1 23.5 1.0 23.52
0.2 23.2 1.1 23.23
-1.0 22.4 -0.1 22.42
-0.5 23.6 1.4 23.65
0.2 21.2 1.8 21.28
0.0 23.8 2.5 23.93
-0.9 22.7 1.6 22.77
-0.4 23.2 2.3 23.32
-0.4 21.4 3.1 21.63
-0.5 20.2 3.8 20.56
-1.4 24.0 0.7 24.05
-0.8 22.6 2.4 22.74
-0.8 22.4 0.9 22.43
-1.3 22.9 1.8 23.01
-1.4 22.8 0.1 22.84
