x y z
-189 -6 -83
-266 -7 -135
-301 -9 -116
-329 -23 -177
-240 -31 -213
-253 -56 -311
-255 -95 -270
-434 -108 -316
-429 -68 -289
-326 -18 -165
-19 -29 -122
72 36 -55
36 33 -50
-104 41 -70
-434 135 -228
-495 26 -244
-301 -72 -104
-24 -79 -76
52 -74 -61
0 -123 -24
-241 -117 -111
-653 -204 -335
-620 -34 -286
-160 -10 -118
152 14 37
89 55 -55
14 40 -69
-122 -3 -3
-822 27 -282
-563 -17 -230
-145 -100 -134
51 -76 -32
50 -102 -37
-96 -169 -5
-502 -151 -211
-734 -178 -287
-174 28 -147
113 56 24
55 72 -43
3 40 -59
-368 130 -313
-778 23 -249
-558 -43 -224
-108 -95 -140
113 -76 -89
30 -133 -31
-218 -186 -91
-763 -231 -274
-394 55 -181
-85 15 -137
255 66 25
41 83 -77
-85 16 -20
-429 189 -394
-834 -19 -232
-353 -107 -157
55 -66 -100
21 -99 -71
40 -213 43
-557 -162 -185
-743 -166 -312
-203 -3 -93
103 43 19
122 88 -34
-13 50 -68
-420 56 -186
-733 58 -305
-622 -117 -202
-102 -117 -91
100 -66 -76
52 -92 -24
-83 -179 38
-489 -129 -229
-794 -245 -203
-159 28 -91
67 37 22
114 66 -14
24 52 -79
-407 90 -196
-728 31 -316
-731 -133 -222
117 -57 -32
49 -73 -64
24 -118 -27
-113 -180 27
-597 -171 -287
-418 86 -240
-81 -22 -137
214 69 27
80 70 -40
-117 40 32
-424 123 -320
-834 -21 -202
-609 -108 -174
147 -95 -48
83 -95 -84
52 -191 -20
-289 -216 -85
-576 -111 -206
-330 45 -140
27 23 -53
174 84 -23
-71 14 4
-233 59 -45
-530 142 -457
-864 -77 -221
4 -75 -77
119 -84 -79
93 -101 -45
-17 -224 31
-621 -191 -315
-476 50 -239
-186 -10 -104
180 47 33
63 107 -54
-182 41 -24
-559 95 -445
-840 -53 -175
-343 -154 -129
118 -69 -93
53 -86 -58
11 -211 47
-462 -131 -210
-552 -116 -179
-324 52 -132
-100 -26 -11
178 52 -18
-44 -27 45
-151 15 0
-524 229 -489
-769 -38 -305
-153 -97 4
-208 -77 -33
75 -49 -66
119 -114 -31
72 -105 -198
-785 -135 -68
-65 43 -68
-329 32 -8
-227 -37 24
-31 32 -90
-258 72 -107
-693 -36 -189
-334 -55 -54
-324 -18 11
-69 -78 4
-31 -45 -13
-50 -33 -23
-228 -77 -39
-593 -210 -10
-370 -65 -89
-321 -64 1
-153 -14 -21
-106 -36 -20
-125 -43 -5
-152 -55 -1
-246 -65 -3
-290 -63 1
-335 -71 34
-350 -58 23
-340 -49 -21
-258 -25 -49
-237 -14 -45
-207 -31 -29
-192 -41 -19
-231 -27 -19
-249 -25 -12
-233 -19 -14
-233 -17 -25
-263 -22 -13
-324 -47 -1
-293 -71 -15
-258 -73 -5
-203 -53 -26
-203 -55 -18
-233 -68 -18
-233 -85 -3
-228 -78 -3
-231 -74 5
-244 -71 3
