x y z
-22 -138 201
-20 -132 193
-25 -139 204
-25 -139 204
-16 -145 205
-16 -145 205
-27 -134 202
-36 -131 202
-36 -131 202
-11 -146 205
-2 -141 208
-2 -141 208
49 -116 241
49 -116 241
-18 -166 159
-6 -177 194
-6 -177 194
2 -160 199
14 -158 196
14 -158 196
-12 -143 205
-12 -143 205
-6 -150 203
2 -138 216
2 -138 216
18 -141 247
18 -141 247
58 -259 -20
41 -107 372
41 -107 372
-186 -224 369
-306 -535 562
-306 -535 562
-143 -377 494
-143 -377 494
-275 -250 169
180 -834 -62
180 -834 -62
280 -1285 -363
54 -490 256
54 -490 256
14 -168 285
14 -168 285
13 -654 286
-354 -901 799
-354 -901 799
-391 -417 1047
-311 -224 191
-311 -224 191
-157 -486 8
-157 -486 8
107 -1358 221
-638 -273 428
-638 -273 428
31 -343 270
111 -88 339
111 -88 339
-345 -943 497
-345 -943 497
-731 -502 1009
-231 44 470
-231 44 470
-201 -936 498
-201 -936 498
-141 -1545 246
-88 -759 -9
-88 -759 -9
66 -879 167
63 -168 237
63 -168 237
-66 -217 148
-66 -217 148
4 -191 160
-21 -189 176
-21 -189 176
-20 -186 177
-8 -189 172
-8 -189 172
-5 -187 179
-5 -187 179
-15 -188 174
-9 -179 181
-9 -179 181
0 -176 183
-6 -170 191
-6 -170 191
9 -172 181
9 -172 181
-3 -158 203
-92 -136 216
-92 -136 216
-4 -162 194
-7 -155 201
-7 -155 201
-3 -155 198
-3 -155 198
-2 -157 197
-2 -156 197
-2 -156 197
-1 -157 196
-1 -157 196
-2 -156 197
2 -155 197
2 -155 197
0 -157 197
1 -157 197
1 -157 197
-2 -155 197
-2 -155 197
0 -155 198
