x y z
19 -164 193
19 -157 182
17 -165 193
17 -165 193
17 -164 193
17 -164 193
11 -168 190
8 -175 188
8 -175 188
18 -170 190
33 -175 181
33 -175 181
19 -176 180
19 -176 180
18 -170 194
0 -172 195
0 -172 195
17 -151 235
9 -189 167
9 -189 167
-25 -275 38
-25 -275 38
30 -257 133
-116 -132 355
-116 -132 355
-348 -698 308
-118 -719 593
-118 -719 593
-137 -228 309
-137 -228 309
-22 -257 44
214 -1268 -252
214 -1268 -252
-427 -1316 608
-427 -1316 608
74 -257 239
30 -98 412
30 -98 412
-256 -1421 324
-179 -737 1134
-179 -737 1134
-26 135 296
-26 135 296
-101 -398 251
140 -675 182
140 -675 182
82 -1591 -220
-87 -1203 319
-87 -1203 319
92 -151 317
92 -151 317
124 -195 344
-653 -677 659
-653 -677 659
-645 -92 854
-158 -246 284
-158 -246 284
-91 -931 487
-91 -931 487
-241 -1616 179
-556 -464 91
-556 -464 91
9 -347 212
138 62 413
138 62 413
-74 -142 48
-74 -142 48
-5 -121 279
-25 -158 206
-25 -158 206
11 -148 205
11 -148 205
-26 -139 202
-14 -148 201
-14 -148 201
-12 -147 205
0 -146 203
0 -146 203
-15 -155 195
-15 -155 195
-14 -147 208
-14 -148 201
-14 -148 201
-17 -151 199
-19 -149 199
-19 -149 199
-13 -151 201
-13 -151 201
-18 -151 201
-12 -147 201
-12 -147 201
-16 -149 199
-13 -149 200
-13 -149 200
-13 -148 200
-13 -148 200
-14 -147 203
-15 -150 199
-15 -150 199
-12 -149 200
