x y z
2 -27 5 276.47
3 -27 5 280.14
2 -27 4 280.58
3 -27 3 279.45
4 -27 2 281.50
5 -26 6 279.53
-2 -29 3 292.89
1 -26 7 274.57
3 -27 1 280.37
2 -29 -2 298.72
5 -26 5 275.23
4 -26 7 279.89
-7 -23 23 340.75
-19 -91 18 951.58
-38 -80 41 984.04
-7 -58 60 843.55
-29 -58 61 899.15
-11 -34 30 474.19
-11 -35 -1 369.49
12 -27 -14 334.76
24 -49 -10 561.76
14 -92 -9 938.78
-9 -189 24 1914.76
-5 -70 18 734.73
8 -22 25 352.88
1 -17 23 292.59
2 1 50 509.95
-17 2 56 592.78
-44 -115 30 1278.72
-41 -45 86 1064.23
-23 -34 73 843.29
-3 -10 20 235.48
-4 -23 3 237.21
-3 -30 6 315.23
2 -24 4 253.40
10 -109 15 1107.79
20 -142 -25 1459.33
4 -78 -20 814.76
133 -231 68 2763.79
-6 -13 25 293.64
12 -13 36 402.65
0 -5 39 401.81
7 -63 29 698.53
-41 -39 74 939.78
-55 -31 90 1103.85
-43 -10 75 872.36
-10 -7 19 232.59
-26 -61 17 686.32
-46 -99 -12 1100.64
-22 -122 -59 1382.39
-67 -102 -97 1566.13
-26 -204 -89 2245.55
59 -5 -10 610.88
-13 -14 19 272.79
-58 -14 32 684.32
5 -22 11 259.06
4 -17 18 254.54
-3 -14 20 247.07
-1 -15 19 249.76
-1 -14 20 250.62
-2 -14 19 249.66
-6 -12 19 237.89
-3 -14 19 245.01
-4 -13 19 242.22
-5 -13 20 247.65
-2 -16 20 268.12
-8 -14 20 262.38
0 -7 19 204.64
-4 -12 21 248.87
-4 -7 19 219.21
-4 -12 21 250.17
-6 -11 20 243.45
-7 -8 19 227.00
-8 -8 19 222.85
0 -19 22 299.63
-3 -13 20 247.06
-5 -11 19 234.17
-4 -11 19 229.69
0 -15 20 254.41
0 -15 19 249.17
0 -15 20 252.55
-2 -13 21 249.20
-1 -14 20 250.05
-1 -13 20 245.01
-1 -13 20 245.49
-1 -14 20 249.58
