x y z
2 -22 12 253.71
2 -23 12 267.95
1 -23 13 269.10
2 -23 13 266.77
1 -23 12 267.73
2 -23 13 268.43
1 -23 12 267.80
2 -23 13 266.85
2 -23 13 266.85
1 -23 13 267.79
2 -23 12 265.25
2 -22 14 265.97
1 -23 12 270.15
1 -22 12 262.62
0 -23 12 267.67
1 -22 12 261.75
2 -23 11 264.45
4 -23 12 269.73
1 -21 20 299.75
-10 -8 47 496.89
-19 -37 29 521.01
-19 -59 48 794.90
-8 -36 78 869.71
0 -27 51 588.77
-5 -21 24 332.80
-12 -25 10 297.96
10 -17 -6 216.77
26 -108 -6 1121.56
30 -127 -29 1341.86
-80 -189 95 2271.45
14 -61 13 642.69
0 -18 23 299.74
3 -12 39 411.42
-31 21 71 810.42
-19 -129 56 1424.07
-33 -23 103 1111.13
-29 -24 95 1023.58
-2 -12 37 394.73
-5 -28 6 300.97
-14 -31 3 348.34
1 -44 27 521.28
14 -93 31 1000.53
23 -127 -16 1309.50
11 -92 -11 934.27
34 -10 17 395.34
-3 -15 19 250.78
9 -18 25 326.52
8 -2 41 426.56
-31 -93 54 1123.36
-67 -70 77 1243.82
-45 -34 81 994.91
-60 -6 80 1014.56
-13 0 23 274.51
-17 -56 21 629.56
-23 -95 -9 985.45
-55 -97 -18 1134.45
-59 -124 -67 1534.93
52 66 77 1145.46
43 -17 0 464.68
-17 -9 31 369.36
-44 -26 16 538.72
3 -17 18 255.29
4 -12 21 254.24
1 -16 18 251.75
0 -14 20 254.63
1 -16 19 252.19
0 -13 20 246.85
1 -14 20 248.94
-1 -15 20 250.84
0 -14 20 245.29
0 -15 20 251.42
0 -14 20 247.03
0 -15 20 250.05
0 -16 20 262.24
-2 -17 21 273.61
0 -14 21 258.32
-1 -8 20 226.88
-1 -10 21 244.53
0 -8 21 232.35
-3 -3 19 205.60
-2 -10 22 249.65
-2 -9 21 237.55
-5 -2 19 202.57
-2 -15 23 280.51
-4 -10 21 242.91
-1 -18 23 295.07
-2 -10 21 237.53
-4 -7 20 227.04
-2 -9 21 234.85
-6 -10 23 261.78
-3 -9 23 256.41
-4 -6 21 225.42
-3 -9 22 245.30
-4 -7 21 231.67
-4 -4 20 216.58
-2 -9 22 248.97
-3 -9 22 247.37
-4 -6 21 228.99
-3 -9 22 250.11
-3 -8 22 237.68
-3 -9 22 241.27
