x y z
1 -14 18 238.05
1 -15 19 252.58
1 -15 19 250.54
1 -16 19 250.94
1 -16 19 252.31
1 -17 18 257.46
0 -14 20 251.10
1 -16 19 251.22
2 -17 19 258.41
0 -14 20 246.78
1 -14 19 247.72
0 -13 20 246.08
1 -13 19 241.35
0 -14 20 251.68
2 -14 22 267.62
2 -16 22 275.93
0 -19 17 256.43
0 -21 13 256.02
3 -26 3 273.02
6 -22 19 304.66
1 -15 34 378.32
-22 -8 39 462.65
-32 -77 37 918.98
-32 -60 57 892.78
-12 -63 48 808.03
0 -51 37 635.02
-14 -19 14 287.80
-2 -19 -11 220.85
8 -38 -14 420.28
21 -72 -22 788.05
15 -99 -18 1022.19
-75 -110 75 1536.62
11 -47 18 522.63
2 -16 22 282.71
1 -19 25 315.00
-15 -9 41 447.50
-55 -149 8 1596.14
-16 -74 67 1018.92
-35 -91 100 1404.40
-32 -6 38 506.75
-15 -15 -3 218.85
-34 -57 2 672.69
-24 -48 -8 545.25
-3 -52 8 534.80
16 -135 -12 1369.67
-4 -102 -8 1032.87
-30 -9 57 654.13
0 -112 -6 1127.76
2 -17 23 293.49
11 -7 41 439.81
-16 -7 50 538.24
-25 -114 26 1198.49
-59 -38 74 1025.03
-41 -14 73 854.00
-36 -10 76 851.45
-30 12 27 426.19
-34 -36 28 578.27
-12 -90 51 1046.65
-45 -174 64 1909.99
-6 -222 -64 2317.59
-59 -88 29 1107.53
8 -20 22 312.06
26 -2 31 408.97
15 -15 16 275.58
-48 -27 9 565.67
-6 -23 6 256.58
-2 -15 24 285.86
8 -14 23 290.32
-8 -21 10 255.88
4 -18 18 265.68
6 -19 18 276.72
2 -17 21 276.75
-6 -20 14 255.46
-6 -21 12 255.93
-5 -20 15 257.98
-6 -19 14 250.14
-1 -19 15 251.35
-3 -18 17 254.53
1 -13 22 264.19
2 -15 20 256.01
0 -14 20 251.46
0 -15 19 252.31
-2 -14 20 253.59
2 -15 20 250.97
0 -16 19 253.95
2 -14 20 247.34
1 -14 20 248.61
1 -14 19 246.92
2 -14 20 247.52
-1 -14 20 250.22
0 -15 20 250.81
1 -15 19 249.25
0 -14 20 248.50
0 -15 20 250.07
0 -15 19 250.35
0 -15 19 249.85
1 -16 20 261.68
0 -15 20 255.83
2 -15 19 250.87
1 -14 19 246.69
1 -15 19 249.55
1 -15 19 248.60
0 -15 20 251.56
1 -15 19 248.86
