x y z
3 -24 7 260.65
3 -25 9 273.34
2 -26 8 276.23
3 -26 6 274.39
1 -25 9 275.45
0 -27 6 279.42
2 -25 9 275.48
1 -25 9 273.84
1 -26 6 275.46
1 -26 8 276.44
2 -27 4 276.49
2 -25 7 270.43
1 -24 12 275.18
0 -25 11 277.56
4 -26 3 276.05
6 -27 1 284.41
4 -26 6 278.31
6 -25 10 283.30
-2 -36 28 459.91
-8 -117 17 1194.80
-41 -63 56 943.96
-24 -64 69 977.56
-26 -22 19 398.09
-23 -22 2 326.90
-14 -29 -4 332.39
17 -42 -10 471.49
35 -95 -21 1043.53
31 -89 -25 984.03
15 -39 48 643.85
-2 -22 26 342.38
0 -15 22 274.81
-12 8 69 711.64
3 -65 31 731.59
-78 -106 33 1360.41
-36 -75 100 1306.64
0 -7 78 788.72
19 -10 25 334.44
6 -44 25 518.59
4 -46 14 489.25
8 -119 35 1249.83
16 -170 -21 1723.96
-3 -83 -6 836.55
60 -149 75 1778.05
9 -38 25 470.20
12 -14 36 410.04
5 4 39 402.59
0 -44 42 615.52
-78 -121 62 1576.41
-55 -14 90 1073.45
-38 -2 71 808.66
0 -9 22 247.64
-20 -70 42 847.49
-44 -106 -26 1185.46
-51 -145 -72 1700.51
-84 -54 -95 1387.14
159 22 44 1666.62
-6 -27 10 302.95
-7 -21 14 271.62
-18 -5 31 366.83
-13 -22 14 298.21
1 -15 20 253.18
0 -14 20 248.25
1 -15 20 254.94
0 -16 20 262.56
-5 -12 19 238.13
-3 -13 20 247.12
-4 -14 20 250.88
-3 -12 20 241.10
-2 -15 20 255.03
-3 -11 20 236.00
0 -15 20 260.53
-4 -11 20 239.31
-5 -11 19 234.27
-4 -12 20 240.56
0 -18 21 279.32
0 -15 20 253.85
-3 -14 20 250.00
0 -15 20 256.21
0 -14 20 249.23
-1 -14 20 247.32
-1 -14 20 245.41
0 -15 19 249.84
-1 -14 20 247.13
-1 -14 20 248.32
-1 -14 20 248.46
-1 -14 20 246.52
-1 -14 20 248.61
-1 -14 20 247.13
-1 -14 20 247.43
0 -14 20 249.37
-1 -14 20 246.84
-1 -14 20 247.86
-1 -14 20 250.73
-1 -14 20 249.96
-1 -14 20 248.94
0 -14 20 249.41
-1 -14 20 246.80
-1 -14 20 247.83
-1 -14 20 247.50
-1 -14 19 245.30
