x y z
3 -21 12 252.59
3 -22 13 265.64
3 -22 13 266.63
3 -22 13 266.50
3 -22 13 266.27
3 -23 13 266.87
3 -22 13 266.40
3 -22 13 268.12
3 -22 13 268.38
2 -22 13 266.17
3 -22 13 266.66
3 -23 12 265.60
3 -22 14 268.23
3 -23 12 264.52
2 -22 13 267.25
1 -22 14 268.99
2 -22 14 267.22
2 -23 12 264.02
-2 -24 12 274.59
2 -24 10 265.50
1 -24 10 271.56
4 -24 12 274.94
4 -26 7 277.49
4 -24 16 292.60
-11 -19 34 407.81
-11 -33 25 434.55
-29 -96 22 1028.62
-6 -68 59 909.65
-5 -46 53 710.52
-2 -25 27 380.98
-8 -20 9 245.89
16 -27 -12 348.97
21 -81 -9 843.64
16 -123 -21 1262.43
15 -104 -45 1148.98
1 -32 26 420.14
0 -17 22 287.09
4 -18 26 326.93
2 0 50 500.72
-30 -130 37 1389.01
-53 -43 79 1056.29
-21 -48 107 1196.29
-11 -36 82 903.32
4 -18 28 341.05
-15 -37 6 410.73
4 -36 0 366.72
11 -51 26 594.90
7 -126 26 1291.94
-76 5 -51 923.72
37 -119 34 1302.97
-7 -17 30 360.61
-9 -15 24 305.98
-3 1 39 399.41
0 -40 29 499.82
-92 -104 64 1536.59
-47 -46 75 1005.54
-68 -10 86 1107.35
4 -31 24 400.93
-25 -79 26 873.49
-14 -112 -34 1183.85
-65 -84 -45 1158.05
-39 -90 -42 1076.57
88 -216 -53 2395.71
-60 30 98 1192.43
39 -12 1 410.23
-40 -9 35 545.65
-7 -24 6 263.65
1 -21 13 256.13
1 -12 24 272.95
0 -15 19 249.51
1 -16 19 258.37
-4 -9 22 249.78
-1 -14 19 247.06
0 -15 19 249.84
-1 -13 20 244.16
-1 -13 20 247.02
0 -14 20 248.36
0 -15 20 250.81
0 -15 19 248.33
0 -15 19 250.06
0 -15 19 248.95
0 -15 19 250.41
-1 -15 19 247.62
0 -15 20 254.66
0 -15 19 252.39
0 -15 19 248.94
0 -15 19 250.69
0 -15 19 249.72
0 -15 19 251.13
0 -15 19 250.07
0 -15 19 250.84
0 -15 19 248.50
0 -15 19 249.44
0 -15 19 250.05
0 -15 19 249.44
0 -15 19 249.01
