x y z
2 -22 13 264.54
1 -22 14 265.48
1 -22 13 264.79
1 -22 13 264.28
1 -22 13 265.45
1 -22 13 265.07
2 -22 13 266.75
1 -22 12 262.96
1 -22 13 262.06
2 -22 13 262.93
3 -21 14 262.10
0 -21 15 265.79
0 -22 14 265.42
0 -22 14 266.84
0 -21 15 266.70
2 -19 16 257.27
0 -22 15 269.71
0 -26 6 270.68
0 -27 5 278.21
1 -27 4 280.27
1 -25 11 278.37
-8 -21 29 375.86
-1 -19 32 382.70
-11 -109 14 1113.06
-15 -61 42 762.12
-13 -64 52 839.32
-1 -39 31 506.64
-20 -9 12 260.77
-17 -7 2 193.73
-3 -14 -6 159.41
16 -98 -7 997.10
28 -130 -29 1372.30
16 -59 -17 639.30
22 -53 43 724.67
-5 -17 23 292.43
2 -14 32 353.76
-7 13 62 647.49
-5 -43 36 573.38
-46 -7 88 997.88
-25 -47 96 1103.86
-16 -44 62 779.14
2 -45 7 461.50
-8 -40 -4 415.66
6 -37 -9 390.21
23 -51 6 572.75
5 -108 6 1089.26
10 -110 -18 1120.34
9 -123 51 1340.76
0 -21 26 341.77
-3 -15 23 283.81
13 -9 37 412.32
-5 -59 31 669.00
-35 -124 39 1349.62
-41 -41 63 861.78
-67 -38 88 1178.48
-27 -14 77 831.25
-20 -48 31 610.62
-33 -66 48 891.64
-19 -98 43 1090.73
-31 -174 39 1819.86
31 140 65 1584.17
38 -180 47 1906.94
0 -10 25 276.85
14 -2 28 316.41
2 -17 15 233.30
2 -19 17 258.63
1 -16 17 245.35
-2 -17 19 262.58
0 -15 19 247.69
0 -15 19 250.51
0 -15 19 251.58
0 -15 19 249.82
-1 -15 19 251.22
0 -15 19 248.68
0 -14 20 250.06
1 -15 19 248.85
1 -15 19 248.23
0 -15 19 249.81
0 -15 19 250.83
0 -15 20 251.60
-2 -17 19 264.87
0 -15 19 248.64
0 -15 20 252.25
0 -14 19 242.67
0 -15 20 255.53
0 -15 19 247.61
0 -14 20 249.40
0 -14 20 249.61
0 -15 19 249.20
0 -15 20 250.62
0 -14 20 247.04
0 -14 19 245.60
0 -14 20 252.78
0 -14 20 253.59
0 -14 20 249.40
0 -14 20 250.93
2 -15 18 241.94
0 -14 19 247.20
