x y z
2 -24 8 259.13
2 -25 9 272.17
2 -25 8 273.16
2 -25 8 273.56
1 -26 6 275.02
2 -25 8 272.38
1 -26 8 273.64
1 -25 9 273.36
2 -25 9 273.01
2 -25 9 271.54
0 -26 8 276.07
0 -25 9 273.15
2 -25 8 274.14
0 -26 6 274.95
9 -24 11 282.41
1 -21 24 326.24
-22 -14 42 503.56
-2 -42 19 467.49
-26 -21 56 665.21
-26 -52 61 851.56
3 -47 45 662.29
-1 -28 29 413.88
-6 0 4 80.32
23 -30 -11 402.78
17 -124 -39 1321.80
39 -104 -83 1392.16
-187 -256 -25 3181.62
18 -17 19 324.42
5 -20 19 289.17
5 -13 34 377.19
-34 14 72 813.32
-41 -47 37 732.12
-38 -40 98 1128.61
-15 -29 92 983.42
-32 -15 63 732.35
-12 -30 13 357.94
-12 -41 14 459.11
-15 -43 23 521.21
8 -82 34 902.70
1 -154 0 1546.07
-93 -26 29 1014.84
39 -62 5 740.03
-2 -16 20 267.03
4 -16 26 315.76
8 4 36 379.23
-18 -87 51 1032.67
-75 -84 87 1431.21
-38 -38 89 1048.09
-1 -3 31 314.04
-18 -59 35 716.98
-4 -77 4 778.33
-45 -111 -33 1251.24
-47 -87 -67 1206.96
62 -236 -47 2490.11
53 38 61 899.04
4 -4 25 258.48
12 -6 28 319.92
-30 -13 21 396.23
4 -10 23 262.60
3 -17 17 254.21
0 -14 20 252.21
0 -13 20 248.51
-1 -13 20 246.47
-1 -14 20 249.89
-1 -14 20 249.72
1 -16 20 265.73
-6 -14 20 257.62
-1 -14 20 250.97
-5 -10 19 229.05
-2 -12 20 241.50
-5 -11 20 246.32
-2 -12 20 242.74
-5 -8 19 222.67
-5 -9 20 229.25
-10 -14 20 267.32
0 -10 20 227.26
-4 -15 21 268.41
-1 -13 20 248.07
-3 -14 20 250.00
0 -15 20 254.64
-2 -14 20 250.10
0 -13 20 246.60
-1 -15 19 247.37
0 -15 19 251.63
-2 -14 20 249.81
-1 -14 20 248.65
0 -14 20 246.35
0 -14 20 247.57
-1 -14 20 247.07
0 -14 20 248.37
0 -14 20 248.75
0 -14 20 246.38
-1 -14 20 247.37
-1 -14 19 244.49
0 -14 20 245.38
0 -14 19 245.55
-1 -14 20 246.55
-1 -14 20 250.05
0 -14 20 246.17
-1 -14 20 246.02
-1 -14 20 248.70
0 -14 20 246.69
