x y z
1 -14 18 238.16
1 -15 19 249.02
1 -15 19 249.82
0 -15 19 251.45
1 -15 19 250.70
0 -15 20 250.16
0 -14 20 245.38
1 -15 19 249.16
0 -15 19 248.90
1 -15 19 248.28
0 -15 19 250.18
0 -15 19 246.83
0 -16 19 251.52
0 -16 19 250.86
0 -16 19 252.91
0 -14 20 247.03
0 -16 19 252.24
0 -15 20 251.82
0 -17 19 260.80
4 -17 19 265.70
2 -20 14 251.11
6 -22 11 257.69
-9 -12 44 470.05
-21 -12 40 477.69
0 -80 29 857.02
-21 -83 56 1030.97
-39 -48 71 952.30
-18 -31 31 483.27
-19 -26 11 347.55
-16 -37 4 412.35
14 -38 -2 406.72
19 -140 -27 1445.93
23 -107 -40 1167.97
-132 -162 107 2353.19
12 -50 12 531.99
2 -18 26 324.00
-4 12 64 657.24
-17 -7 56 598.70
-41 -115 13 1231.15
-60 -41 77 1064.44
-6 -51 83 979.14
8 -14 24 299.66
1 -29 -2 296.22
-5 -32 4 330.51
9 -57 22 629.22
8 -114 20 1165.18
28 -140 -20 1452.33
22 -79 -4 831.54
8 -15 23 296.04
-5 -14 22 267.26
10 -14 33 377.45
2 7 48 493.59
-40 -95 68 1248.58
-66 -52 102 1327.89
-56 -2 94 1095.74
-38 5 73 833.22
-5 7 15 176.59
-35 -76 44 952.13
-23 -94 40 1049.32
-28 -156 45 1654.69
5 -182 -42 1873.46
15 -209 25 2116.54
-6 -20 26 337.98
6 -13 23 278.62
24 2 33 414.56
-36 -24 15 462.13
7 -20 13 255.19
-6 -19 18 271.25
5 -19 15 253.57
1 -21 13 249.30
1 -19 16 253.51
-1 -18 18 263.27
-1 -19 17 255.98
0 -18 18 255.27
2 -20 14 250.49
-4 -16 18 248.53
-1 -13 24 274.91
7 -18 15 252.86
-2 -15 20 256.04
5 -16 19 254.33
0 -15 19 251.29
1 -12 20 241.53
0 -13 20 247.98
0 -14 19 245.67
6 -18 20 282.41
0 -13 20 245.33
-2 -15 20 256.84
-2 -10 20 229.96
0 -13 20 249.41
0 -16 20 257.78
0 -14 19 248.62
0 -14 20 247.63
0 -14 20 248.69
0 -14 20 247.86
0 -14 19 246.89
0 -14 20 249.26
0 -14 20 247.62
0 -14 20 247.17
0 -14 20 246.92
0 -14 19 246.22
0 -14 20 248.32
0 -14 20 248.65
