x y z
5 -14 20 255.36
3 -15 19 254.81
5 -18 15 246.36
6 -19 16 259.34
8 -18 19 286.23
-15 -2 44 469.57
-5 -28 48 564.42
-48 -89 80 1290.37
-2 -8 78 787.38
0 -15 45 481.65
5 -40 32 520.33
18 -38 8 431.67
26 -88 -16 932.01
29 -116 -29 1241.70
-61 -124 91 1664.50
0 -43 25 503.54
0 -18 22 288.36
4 -16 21 274.41
-19 14 70 747.13
3 -54 40 680.28
-28 -113 59 1310.47
-15 -22 96 1003.08
-18 -27 56 652.76
-9 -33 16 386.60
-29 -52 4 602.27
-19 -45 -2 499.10
29 -70 13 772.55
27 -130 1 1332.78
22 -111 -12 1143.79
-165 -224 46 2826.19
45 -18 11 500.03
10 -16 26 327.72
8 2 45 457.49
-4 -13 33 368.27
-45 -102 39 1188.52
-44 -39 80 1006.72
-61 -20 93 1134.75
-20 11 52 573.40
16 -9 13 237.97
-10 -63 39 754.52
-18 -102 37 1102.81
-23 -141 34 1473.95
-11 -159 -35 1634.22
-9 52 63 823.32
-23 -18 20 361.15
10 3 33 354.42
39 5 39 559.74
-2 -7 15 168.77
6 -3 38 391.37
-8 -20 12 254.55
4 -16 20 263.58
0 -16 19 253.78
3 -15 19 255.86
3 -16 19 254.52
1 -18 17 250.91
-1 -13 22 263.66
1 -16 18 252.18
0 -15 20 250.82
2 -15 19 250.54
2 -16 18 250.38
0 -14 20 251.12
1 -15 19 247.32
1 -15 19 251.08
1 -15 19 252.98
0 -14 20 249.71
0 -15 19 246.86
0 -15 19 249.11
0 -15 19 249.60
0 -15 19 249.91
1 -15 19 249.92
0 -15 19 249.59
0 -15 19 250.04
0 -15 19 249.59
1 -15 19 247.71
0 -15 19 248.41
0 -15 19 249.98
0 -15 19 248.95
1 -15 19 251.04
0 -15 19 249.14
1 -15 19 248.41
0 -15 19 248.95
1 -15 19 250.43
1 -15 19 248.85
0 -15 19 249.23
0 -15 19 249.90
0 -15 19 248.95
0 -15 19 249.11
0 -15 19 248.44
