x y z
37 -1 214
50 -3 223
47 -2 227
45 0 233
48 0 226
46 -1 235
52 -5 226
46 -5 227
44 -2 230
46 -5 228
46 -2 230
46 -3 231
46 -3 229
49 -2 227
41 -11 225
44 -17 229
45 -3 239
46 5 236
106 33 213
99 70 230
58 48 210
49 1 211
48 10 202
60 18 221
79 14 233
43 29 223
59 38 233
56 54 232
58 64 238
63 72 287
87 94 353
35 166 364
-12 145 235
-47 108 51
-10 40 -133
60 13 -343
62 48 -217
39 87 -53
50 164 165
54 379 441
63 354 381
32 306 286
-5 222 147
-3 122 -24
37 49 -284
45 57 -276
30 105 -130
2 135 7
-110 329 298
-66 358 390
-50 347 377
-44 311 323
-65 179 94
-43 99 -52
0 60 -183
29 46 -301
38 106 -156
37 171 40
81 249 248
101 342 376
69 346 321
1 229 90
13 176 -16
29 135 -120
45 110 -206
61 114 -138
42 151 -28
44 248 166
80 327 310
59 309 222
39 262 140
36 203 48
35 145 -74
45 110 -179
58 89 -209
33 101 -110
5 133 54
27 194 266
182 278 503
170 239 367
104 189 161
61 132 36
-152 178 -43
-221 236 7
-159 175 32
-64 165 165
335 -96 275
445 -183 252
384 -136 251
271 -112 189
140 -28 156
-255 289 180
-265 338 153
-119 232 143
38 118 204
338 -119 220
377 -147 212
317 -127 201
217 -77 163
-27 135 200
-199 312 241
-177 310 178
-118 251 175
27 90 163
418 -231 221
424 -232 218
308 -152 221
180 -89 187
-163 213 256
-301 375 241
-185 278 138
-40 161 155
339 -158 229
432 -215 218
366 -181 213
225 -112 177
-114 159 204
-191 267 211
-69 212 186
64 108 179
140 57 204
140 10 188
136 13 230
83 39 226
72 46 226
83 43 246
100 1 236
72 25 242
67 39 246
60 -1 232
65 4 228
19 -21 256
57 -24 212
83 -18 212
66 -7 223
72 -3 215
74 9 232
88 -5 220
77 -8 229
92 1 210
90 -10 214
79 -11 220
69 -6 228
