x y z
62 100 197
68 95 215
73 88 187
62 77 200
83 79 194
87 99 199
67 91 207
69 96 207
75 95 187
81 87 165
89 92 205
79 90 191
88 89 199
74 115 194
87 83 201
82 115 166
88 111 165
84 103 165
85 119 180
76 127 166
111 105 204
122 101 245
170 100 335
165 123 413
12 147 174
-18 123 -20
-41 75 -232
-25 42 -382
-70 72 -149
-46 61 162
40 126 530
114 277 760
-36 213 329
-90 136 68
-40 107 -16
28 41 -101
59 -8 -271
9 -17 -329
-59 62 -97
-138 161 147
-112 261 445
5 368 596
-82 301 412
-151 173 213
-128 -1 -40
70 -118 -456
42 -57 -399
-40 4 -200
-94 116 91
-88 253 429
31 399 608
-51 304 353
-87 134 89
-32 2 -194
54 19 -278
6 112 -101
-39 190 60
-36 216 177
130 147 387
279 64 473
277 5 402
148 30 271
-333 195 -28
-509 372 -102
-228 217 -24
17 67 120
198 6 302
425 -117 446
288 -55 324
91 -4 174
-116 113 71
-442 382 -21
-261 283 26
-38 95 133
165 -58 302
418 -261 412
247 -157 265
14 -24 69
-184 198 88
-46 184 181
40 66 210
125 23 262
91 15 247
97 1 274
18 33 220
84 9 233
30 7 232
106 1 245
94 27 227
64 7 219
75 -8 230
148 26 248
46 -22 209
112 19 260
35 -2 218
48 -27 219
53 -22 238
-15 -49 240
19 -49 233
-6 -11 247
59 -33 211
170 14 208
124 -5 198
79 -14 227
108 -14 219
176 -34 182
150 -19 219
145 -8 213
136 -33 158
141 -5 195
138 -30 186
139 -35 196
131 -43 232
114 -98 302
70 -196 356
65 -171 350
77 -70 257
129 67 85
272 352 -68
249 279 -38
164 183 40
54 -57 236
-79 -728 282
-15 -430 235
62 -114 188
181 201 72
261 284 -118
128 95 25
39 -110 130
-73 -306 277
79 -204 171
47 -29 250
14 -97 259
36 -60 254
41 -62 254
15 -140 258
97 -49 206
106 -8 196
72 -66 213
36 -109 233
46 -97 220
45 -103 223
53 -86 228
48 -117 207
40 -109 226
36 -119 216
41 -93 222
38 -102 219
28 -123 226
31 -119 218
31 -116 216
4 -152 236
-76 -267 314
-69 -230 323
2 -108 260
147 80 128
277 189 42
224 156 69
108 37 146
-15 -146 182
-197 -491 254
-177 -474 285
-104 -320 286
-14 -165 241
71 -21 157
272 246 132
285 243 93
196 165 107
23 -23 167
-209 -501 300
-226 -525 377
-87 -262 318
46 -38 208
196 101 98
188 76 131
130 -12 174
108 -57 208
64 -126 399
64 -91 447
-34 -89 499
-97 -127 377
-76 -127 150
82 -67 -158
121 -85 -181
85 -125 -146
20 -127 -53
-73 -122 339
-98 -136 563
-122 -148 700
-93 -111 593
13 30 221
113 20 -24
160 -32 -135
183 -54 -157
88 -49 -86
-33 -60 130
-109 -25 455
-172 -9 817
-161 -118 718
-29 -26 242
66 -32 -13
134 -71 -157
147 -90 -165
41 -78 0
-47 -88 267
-76 -68 477
-91 -43 646
-79 -65 446
-41 -51 267
27 -108 -17
96 -150 -130
79 -182 -75
38 -176 109
69 -75 230
129 49 325
180 180 388
159 161 184
-3 34 203
-172 -195 242
-277 -411 250
-189 -282 246
-103 -130 246
14 29 214
116 174 266
224 249 243
171 206 208
46 108 243
-99 -96 210
-208 -311 191
-204 -424 208
-90 -197 185
37 24 238
121 129 252
115 63 231
76 -27 197
59 -67 202
32 -108 224
21 -130 240
-28 -135 267
7 -111 241
25 -64 233
16 -60 211
2 -89 248
-10 -107 236
55 -67 178
41 -152 209
59 -140 175
48 -157 183
55 -167 200
48 -180 216
34 -142 213
52 -129 205
122 -136 191
84 -95 201
92 -90 228
29 -137 223
68 -92 214
93 -69 226
70 -67 205
72 -64 224
60 -56 199
90 -74 227
79 -56 226
120 -33 209
10 -38 224
150 -42 190
98 -43 212
139 -15 218
119 -27 212
119 -30 208
120 -21 196
130 -26 201
117 -23 209
143 -16 205
130 -8 197
